TX_RESP_Q001,TX_RESP_Q002,TX_RESP_Q003,TX_RESP_Q004,TX_RESP_Q005,TX_RESP_Q006,TX_RESP_Q007,TX_RESP_Q008,TX_RESP_Q009,TX_RESP_Q010,TX_RESP_Q011,TX_RESP_Q012,TX_RESP_Q013,TX_RESP_Q014,TX_RESP_Q015,TX_RESP_Q016,TX_RESP_Q017,TX_RESP_Q018,TX_RESP_Q019,TX_RESP_Q020,TX_RESP_Q021,TX_RESP_Q022,TX_RESP_Q023,TX_RESP_Q024,TX_RESP_Q025,TX_RESP_Q026,TX_RESP_Q027,TX_RESP_Q028,TX_RESP_Q029,TX_RESP_Q030,TX_RESP_Q031,TX_RESP_Q032,TX_RESP_Q033,TX_RESP_Q034,TX_RESP_Q035,TX_RESP_Q036,TX_RESP_Q037,TX_RESP_Q038,TX_RESP_Q039,TX_RESP_Q040,TX_RESP_Q041,TX_RESP_Q042,TX_RESP_Q043,TX_RESP_Q044,TX_RESP_Q045,TX_RESP_Q046,TX_RESP_Q047,TX_RESP_Q048,TX_RESP_Q049,TX_RESP_Q050,TX_RESP_Q051,CLASSIFICADOR IDEB
A,B,B,F,B,B,B,B,B,B,A,A,A,B,C,C,A,A,B,A,B,B,G,A,B,C,A,A,A,A,A,C,B,B,B,C,C,C,B,D,A,B,A,A,A,C,B,B,B,B,C,ABAIXO DA MÉDIA
B,B,L,E,C,A,B,B,B,A,B,A,A,B,C,F,A,A,B,A,A,A,B,A,A,B,A,A,A,A,A,B,A,C,C,A,B,C,C,B,A,B,A,C,B,A,A,B,B,A,B,ABAIXO DA MÉDIA
B,B,D,D,B,B,B,B,C,B,A,A,A,B,D,E,A,A,A,A,A,A,D,A,A,A,A,A,A,A,A,C,B,C,C,C,C,C,C,D,A,A,C,B,A,A,B,C,B,B,C,ABAIXO DA MÉDIA
A,B,L,C,C,B,B,B,B,A,B,A,B,B,C,D,A,A,D,A,A,A,B,A,A,C,A,A,A,A,B,C,B,C,A,A,C,C,C,D,B,B,C,A,A,A,B,B,B,A,C,ABAIXO DA MÉDIA
A,F,F,D,A,C,B,B,A,A,A,A,A,B,C,C,A,A,C,B,B,B,G,A,A,A,A,A,A,A,A,B,B,C,B,B,C,C,C,E,D,B,A,A,A,A,B,B,B,B,D,ABAIXO DA MÉDIA
B,F,H,F,B,B,B,A,A,A,A,A,A,B,C,F,A,A,A,B,B,B,G,B,B,C,A,A,A,A,A,A,A,A,B,B,C,C,B,D,A,B,D,A,A,A,A,A,B,A,C,ABAIXO DA MÉDIA
A,E,H,E,B,B,C,B,B,A,B,B,B,B,C,D,A,A,D,A,A,A,D,A,A,C,A,A,A,A,A,C,B,B,B,B,C,B,B,D,A,B,B,B,A,A,B,B,B,A,B,ABAIXO DA MÉDIA
B,A,F,C,A,B,B,C,A,B,B,A,B,B,C,D,A,B,D,A,A,B,D,A,A,A,A,A,A,A,A,B,A,B,B,A,C,A,B,D,E,B,A,C,A,A,D,D,A,A,C,ABAIXO DA MÉDIA
A,E,F,E,A,C,C,B,B,A,B,A,B,B,D,D,A,A,G,A,A,A,G,A,A,A,A,A,A,A,A,C,A,B,C,A,C,B,A,C,A,B,C,C,B,A,A,C,B,A,C,ABAIXO DA MÉDIA
B,E,A,C,C,C,B,D,D,A,B,B,B,B,C,D,A,A,C,A,A,A,E,A,A,A,A,A,A,A,B,C,B,B,A,A,C,B,C,C,D,B,A,A,A,A,A,B,B,A,C,ABAIXO DA MÉDIA
