ID_ESCOLA,ID_LOCALIZACAO,ID_TURMA,ID_TURNO,ID_ALUNO,TX_RESP_BLOCO_2_MT,ESTRATO_ANEB,PESO_ALUNO_LP,'RESULTADO IDEB',CONDICAO
27044289,1,604386,1,17847740,AACBACAAAADAA,270915231,1.088.235.294.100.000,4.8,'ABAIXO DA MEDIA'
27044289,1,604386,1,17847741,CDDAAACADDCDA,270915231,1.088.235.294.100.000,4.8,'ABAIXO DA MEDIA'
27044289,1,604386,1,17847742,DDDBC*DDCAD*C,270915231,1.088.235.294.100.000,4.8,'ABAIXO DA MEDIA'
27044289,1,604386,1,17847743,ABDBBBBDDBADA,270915231,1.088.235.294.100.000,4.8,'ABAIXO DA MEDIA'
27044289,1,604386,1,17847744,BCBBBBCCADDCB,270915231,1.088.235.294.100.000,4.8,'ABAIXO DA MEDIA'
27044289,1,604386,1,17847745,AAACBBACDCBBB,270915231,1.088.235.294.100.000,4.8,'ABAIXO DA MEDIA'
27044289,1,604386,1,17847746,ACADAADCCBABD,270915231,1.088.235.294.100.000,4.8,'ABAIXO DA MEDIA'
27044289,1,604386,1,17847747,.............,270915231,?,4.8,'ABAIXO DA MEDIA'
27044289,1,604386,1,17847748,.............,270915231,?,4.8,'ABAIXO DA MEDIA'
27044289,1,604387,1,17847749,CBCCAAAABAAAA,270915231,1.222.222.222.200.000,4.8,'ABAIXO DA MEDIA'
27044289,1,604387,1,17847750,CBDACADBA*BCA,270915231,1.222.222.222.200.000,4.8,'ABAIXO DA MEDIA'
27044289,1,604387,1,17847751,BBCCBCACDACBA,270915231,1.222.222.222.200.000,4.8,'ABAIXO DA MEDIA'
27044289,1,604387,1,17847752,BACACABABBBDC,270915231,1.222.222.222.200.000,4.8,'ABAIXO DA MEDIA'
27044289,1,604387,1,17847753,DBCCBCCBCDCDA,270915231,1.222.222.222.200.000,4.8,'ABAIXO DA MEDIA'
27044289,1,604387,1,17847754,ADDDBDAAAAADC,270915231,1.222.222.222.200.000,4.8,'ABAIXO DA MEDIA'
27044289,1,604387,1,17847755,CCBDAACCCDABC,270915231,1.222.222.222.200.000,4.8,'ABAIXO DA MEDIA'
27044289,1,604387,1,17847756,CABBBBACABCAB,270915231,1.222.222.222.200.000,4.8,'ABAIXO DA MEDIA'
27044289,1,604387,1,17847757,BDBCCBDABDDCC,270915231,1.222.222.222.200.000,4.8,'ABAIXO DA MEDIA'
27044289,1,604387,1,17847758,CCABCAADBCBAB,270915231,1.222.222.222.200.000,4.8,'ABAIXO DA MEDIA'
27044289,1,604387,1,17847759,ABADCCBDCADCC,270915231,1.222.222.222.200.000,4.8,'ABAIXO DA MEDIA'
27044289,1,604387,1,17847760,ACBACBABDBCAB,270915231,1.222.222.222.200.000,4.8,'ABAIXO DA MEDIA'
27044289,1,604387,1,17847761,.............,270915231,?,4.8,'ABAIXO DA MEDIA'
27044289,1,604387,1,17847762,ACDBBCACDBCAB,270915231,1.222.222.222.200.000,4.8,'ABAIXO DA MEDIA'
27044289,1,604387,1,17847763,.............,270915231,?,4.8,'ABAIXO DA MEDIA'
27044289,1,604387,1,17847764,.............,270915231,?,4.8,'ABAIXO DA MEDIA'
27044289,1,604387,1,17847765,AACDDBAADDADD,270915231,1.222.222.222.200.000,4.8,'ABAIXO DA MEDIA'
27044289,1,604387,1,17847766,BDADBCAABCBDD,270915231,1.222.222.222.200.000,4.8,'ABAIXO DA MEDIA'
27044289,1,604387,1,17847767,BBBBCAACCAADD,270915231,1.222.222.222.200.000,4.8,'ABAIXO DA MEDIA'
27044289,1,604387,1,17847768,BBDDADDDDDABD,270915231,1.222.222.222.200.000,4.8,'ABAIXO DA MEDIA'
27044289,1,604387,1,17847769,AADCDDBAAACDB,270915231,1.222.222.222.200.000,4.8,'ABAIXO DA MEDIA'
27044289,1,604387,1,17847770,CBCBCBCDBBCAB,270915231,1.222.222.222.200.000,4.8,'ABAIXO DA MEDIA'
27044289,1,604387,1,17847771,.............,270915231,?,4.8,'ABAIXO DA MEDIA'
27044289,1,604387,1,17847772,BCDABCCCDBBCA,270915231,1.222.222.222.200.000,4.8,'ABAIXO DA MEDIA'
27044289,1,604387,1,17847773,.............,270915231,?,4.8,'ABAIXO DA MEDIA'
27044289,1,604387,1,17847774,CCBCADCDCDBDC,270915231,1.222.222.222.200.000,4.8,'ABAIXO DA MEDIA'
27044289,1,604387,1,17847775,ABDDCBACCCACB,270915231,1.222.222.222.200.000,4.8,'ABAIXO DA MEDIA'
27044289,1,604387,1,17847776,CAACBCAAAACBC,270915231,1.222.222.222.200.000,4.8,'ABAIXO DA MEDIA'
27044289,1,604387,1,17847777,ABDBDBDDBBCAC,270915231,1.222.222.222.200.000,4.8,'ABAIXO DA MEDIA'
27044289,1,604387,1,17847778,.............,270915231,?,4.8,'ABAIXO DA MEDIA'
27044289,1,604387,1,17847779,BAABCBACCADBA,270915231,1.222.222.222.200.000,4.8,'ABAIXO DA MEDIA'
27044289,1,604387,1,17847780,AABBBBDBAABCC,270915231,1.222.222.222.200.000,4.8,'ABAIXO DA MEDIA'
