ID_PROVA_BRASIL,ID_REGIAO,ID_UF,ID_MUNICIPIO,ID_AREA,ID_ESCOLA,ID_DEPENDENCIA_ADM,ID_LOCALIZACAO,ID_TURMA,ID_TURNO,ID_SERIE,ID_ALUNO,IN_SITUACAO_CENSO,IN_PREENCHIMENTO_PROVA,ID_CADERNO,ID_BLOCO_1,ID_BLOCO_2,TX_RESP_BLOCO_1_LP,TX_RESP_BLOCO_2_LP,TX_RESP_BLOCO_1_MT,TX_RESP_BLOCO_2_MT,IN_PROFICIENCIA,IN_PROVA_BRASIL,ESTRATO_ANEB,PESO_ALUNO_LP,PESO_ALUNO_MT,PROFICIENCIA_LP,DESVIO_PADRAO_LP,PROFICIENCIA_LP_SAEB,DESVIO_PADRAO_LP_SAEB,PROFICIENCIA_MT,DESVIO_PADRAO_MT,PROFICIENCIA_MT_SAEB,DESVIO_PADRAO_MT_SAEB,IN_PREENCHIMENTO_QUESTIONARIO,TX_RESP_Q001,TX_RESP_Q002,TX_RESP_Q003,TX_RESP_Q004,TX_RESP_Q005,TX_RESP_Q006,TX_RESP_Q007,TX_RESP_Q008,TX_RESP_Q009,TX_RESP_Q010,TX_RESP_Q011,TX_RESP_Q012,TX_RESP_Q013,TX_RESP_Q014,TX_RESP_Q015,TX_RESP_Q016,TX_RESP_Q017,TX_RESP_Q018,TX_RESP_Q019,TX_RESP_Q020,TX_RESP_Q021,TX_RESP_Q022,TX_RESP_Q023,TX_RESP_Q024,TX_RESP_Q025,TX_RESP_Q026,TX_RESP_Q027,TX_RESP_Q028,TX_RESP_Q029,TX_RESP_Q030,TX_RESP_Q031,TX_RESP_Q032,TX_RESP_Q033,TX_RESP_Q034,TX_RESP_Q035,TX_RESP_Q036,TX_RESP_Q037,TX_RESP_Q038,TX_RESP_Q039,TX_RESP_Q040,TX_RESP_Q041,TX_RESP_Q042,TX_RESP_Q043,TX_RESP_Q044,TX_RESP_Q045,TX_RESP_Q046,TX_RESP_Q047,TX_RESP_Q048,TX_RESP_Q049,TX_RESP_Q050,TX_RESP_Q051
2015,2,27,2704302,1,27216446,3,1,604671,2,5,17856267,1,1,14,7,2,CCBBBBCCCDA,BCCBDACBBBB,DCDBCBBDCBC,ABABAACBBBB,1,1,270430231,1.074645057,1.074645057,-1.886795,0.41034,146.035109,22.60701,-0.398125,0.333213,227.712248,18.62405,1,A,A,D,D,D,B,C,B,B,A,B,B,A,B,D,D,E,A,B,A,A,C,D,A,A,A,A,A,A,A,A,B,B,A,A,A,B,A,C,C,E,B,B,C,A,A,A,A,A,A,B
2015,2,27,2704302,1,27216446,3,1,604672,2,5,17856268,1,1,17,3,6,ACBDDABBACB,CBDCCCBADAC,CACABCAADCC,CDCCCBDBBDD,1,1,270430231,1.505191955,1.505191955,-2.315201,0.529028,122.432781,29.145932,-1.525396,0.503741,164.706448,28.155257,1,A,B,L,F,B,B,B,B,B,B,B,B,B,B,B,A,B,A,D,A,A,A,D,A,A,A,A,A,A,A,A,A,,,,,A,,,E,D,A,B,B,B,C,A,B,C,A,B
2015,2,27,2704302,1,27216446,3,1,604672,2,5,17856269,1,1,20,6,2,ACBDBDBBDAA,DBACDDBDBDB,DCCCCCDCCDB,BCCBDCCBDAC,1,1,270430231,1.505191955,1.505191955,-1.789003,0.415692,151.422799,22.90187,-0.82168,0.412284,204.038773,23.043513,1,A,C,A,H,,D,C,B,B,A,A,B,B,C,D,E,A,A,G,A,A,A,G,A,A,C,A,A,A,A,B,C,C,C,C,C,C,B,C,B,E,B,A,A,C,A,B,A,B,B,C
2015,2,27,2704302,1,27216446,3,1,604672,2,5,17856270,1,1,12,5,7,CADCAABBBCD,BCBDCBBAACA,BBBCAACDBCA,CBDCBDCCBBB,1,1,270430231,1.505191955,1.505191955,-2.588896,0.522912,107.354003,28.808981,-1.240614,0.486647,180.623577,27.199834,1,B,B,G,H,D,A,A,B,B,B,B,B,B,B,B,B,B,A,G,A,A,B,G,A,A,B,A,A,A,A,A,,A,,,,A,,,B,D,B,B,A,B,A,A,A,A,A,A
2015,2,27,2704302,1,27216446,3,1,604672,2,5,17856271,1,1,5,5,6,BBADCCBBABC,DCBCBDACADB,CDACBADADAD,DDBCDACDCCB,1,1,270430231,1.505191955,1.505191955,-1.573375,0.409115,163.30247,22.539521,-1.109615,0.416163,187.945416,23.260319,1,A,A,L,F,D,B,B,B,B,B,B,A,B,B,E,E,C,A,B,A,A,A,C,A,A,A,A,A,A,A,A,,,,,,,,,A,B,B,A,B,B,B,A,B,A,B,A
2015,2,27,2704302,1,27216446,3,1,604672,2,5,17856272,1,1,21,7,3,CBDDADDCCDB,ABCDADADBDB,DCABCBDBCDC,DBDCBDACB..,1,1,270430231,1.505191955,1.505191955,-0.303364,0.354059,233.271647,19.506301,-1.192034,0.48019,183.338826,26.838937,1,A,B,A,H,D,A,A,B,B,A,B,A,B,B,D,C,A,A,C,A,A,B,G,B,B,C,B,B,B,B,B,,B,,,,B,,,C,A,B,C,A,B,A,A,A,A,A,B
2015,2,27,2704302,1,27216446,3,1,604672,2,5,17856273,1,1,1,1,2,BCBADACDACB,BBCADCBCACD,ACDCCBBADCB,BBCDDDCAABB,1,1,270430231,1.505191955,1.505191955,-2.270805,0.43703,124.878706,24.077452,-1.984965,0.56016,139.020066,31.308646,1,B,B,G,H,A,A,A,A,A,A,B,A,,C,D,F,B,A,G,A,A,A,G,A,A,A,A,A,A,A,A,B,C,B,B,C,A,B,C,A,B,A,C,A,C,B,A,A,A,A,A
2015,2,27,2704302,1,27216446,3,1,604672,2,5,17856274,1,0,18,4,7,...........,...........,...........,...........,0,1,270430231,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,2,27,2704302,1,27216446,3,1,604672,2,5,17856275,1,1,6,6,7,DACCBCCDDCC,CBCDBBCCADB,DDDDCBCBDBD,CDDBBDADDDC,1,1,270430231,1.505191955,1.505191955,-1.475664,0.401304,168.685698,22.109187,-1.499147,0.52012,166.173565,29.070718,1,B,B,K,E,B,A,B,B,B,B,B,B,B,B,C,F,B,A,G,A,A,A,G,A,A,B,A,A,A,A,A,B,,,,,C,,,B,C,B,B,,B,B,A,A,A,A,A
2015,2,27,2704302,1,27216446,3,1,604672,2,5,17856276,1,0,19,5,1,...........,...........,...........,...........,0,1,270430231,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,2,27,2704302,1,27216446,3,1,604672,2,5,17856277,1,0,13,6,1,...........,...........,...........,...........,0,1,270430231,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,2,27,2704302,1,27216446,3,1,604672,2,5,17856278,1,1,9,2,4,BBCBDCBBBCB,BBBACBCABBC,BADABB*CDCB,ADCACACAABD,1,1,270430231,1.505191955,1.505191955,-2.218523,0.524666,127.759097,28.905614,-1.93049,0.533382,142.064801,29.811962,1,B,B,C,F,B,B,A,B,B,A,B,A,A,B,C,D,B,A,G,A,A,A,G,A,A,B,A,A,A,A,A,B,,,,,C,,,B,C,B,C,B,B,B,A,A,A,A,A
2015,2,27,2704302,1,27216446,3,1,604672,2,5,17856279,1,0,2,2,3,...........,...........,...........,...........,0,1,270430231,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,2,27,2704302,1,27216446,3,1,604672,2,5,17856280,1,0,11,4,6,...........,...........,...........,...........,0,1,270430231,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,2,27,2704302,1,27216446,3,1,604672,2,5,17856281,1,1,4,4,5,CDABDCCDABB,ADCBCCBADBC,CACCADBABCD,CAABCCDBCAC,1,1,270430231,1.505191955,1.505191955,-2.195297,0.560787,129.038696,30.895642,-1.205985,0.434523,182.559072,24.286502,1,A,B,L,F,D,C,D,C,B,A,B,A,C,B,D,F,A,A,C,A,A,C,D,A,A,B,A,A,A,A,A,B,A,A,B,B,A,B,A,B,A,B,A,C,,A,A,A,A,A,A
2015,2,27,2704302,1,27216446,3,1,604672,2,5,17856282,1,0,10,3,5,...........,...........,...........,...........,0,1,270430231,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,2,27,2704302,1,27216446,3,1,604672,2,5,17856283,1,1,16,2,5,BBBDCBADDDA,ACABADDBAAA,BBADAACAADB,DBACCCCAACA,1,1,270430231,1.505191955,1.505191955,-1.0083,0.327765,194.434352,18.057676,-0.798366,0.359781,205.341847,20.108998,1,A,B,L,G,C,B,C,B,A,A,B,C,B,B,D,D,A,A,D,A,B,A,C,A,B,B,A,A,B,A,B,C,B,C,A,A,B,B,C,A,A,B,B,B,A,B,A,A,A,A,B
2015,2,27,2704302,1,27216446,3,1,604672,2,5,17856284,1,1,14,7,2,CBBDCCAACDD,ACCDCBCDDCA,DDAAABDBBBC,CADABCDDACB,1,1,270430231,1.505191955,1.505191955,0.163232,0.401012,258.97799,22.0931,-1.082559,0.467254,189.457638,26.115914,1,B,F,E,F,B,B,B,B,B,A,B,A,C,B,B,E,A,A,E,A,A,A,E,A,A,A,A,A,A,A,A,C,A,B,A,A,B,A,B,A,D,B,A,B,A,A,A,A,A,A,A
2015,2,27,2704302,1,27216446,3,1,604672,2,5,17856285,1,1,3,3,4,ACCDABADBDB,ADAADAACACC,DCBAABDCDCA,ABACCDBABDC,1,1,270430231,1.505191955,1.505191955,-0.379604,0.366667,229.071329,20.200918,-0.586286,0.405263,217.195492,22.651092,1,B,B,K,E,C,B,C,B,B,A,B,A,B,D,E,D,A,A,D,A,A,A,G,A,A,A,A,A,A,A,A,C,A,B,B,A,C,B,B,A,B,B,B,B,A,A,A,A,A,A,C
2015,2,27,2704302,1,27216446,3,1,604672,2,5,17856286,1,1,15,1,4,DBAACDDCDDB,BCDADBACDCA,ACBCAACBCBD,AADCDDDDACA,1,1,270430231,1.505191955,1.505191955,-0.245353,0.350983,236.467668,19.336834,-1.049004,0.487753,191.333105,27.261651,1,A,C,H,F,A,B,B,C,C,A,B,B,C,D,E,D,A,A,E,A,A,A,F,A,A,A,A,A,A,A,A,A,A,B,A,B,B,A,B,A,E,A,A,A,A,A,A,A,A,A,A
2015,2,27,2704302,1,27216446,3,1,604672,2,5,17856287,1,0,7,7,1,...........,...........,...........,...........,0,1,270430231,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,2,27,2704302,1,27216446,3,1,604672,2,5,17856288,1,0,8,1,3,...........,...........,...........,...........,0,1,270430231,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,2,27,2704302,1,27222942,3,1,604997,1,5,17867131,1,1,11,4,6,ADCBCBCCADA,DCABBDBADCA,AADCCABDBCC,DACBDCBBDDD,1,1,270430231,1.388083199,1.388083199,-1.893406,0.499734,145.670886,27.532027,-0.741874,0.351799,208.499316,19.662865,1,A,E,H,H,C,B,C,B,C,B,B,B,B,C,C,C,B,A,B,A,B,C,D,A,A,A,A,B,A,A,A,B,A,C,A,A,A,B,A,A,B,B,B,C,A,A,A,A,B,A,B
2015,2,27,2704302,1,27222942,3,1,604997,1,5,17867132,1,0,1,1,2,...........,...........,...........,...........,0,1,270430231,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,2,27,2704302,1,27222942,3,1,604997,1,5,17867133,1,1,16,2,5,BADACDAAAAA,BDCDDCDCDB.,BACDAACABAD,DAADAACDABB,1,1,270430231,1.388083199,1.388083199,-1.268682,0.346321,180.089032,19.079988,-1.123906,0.385312,187.146658,21.535985,1,B,B,A,D,C,B,B,B,B,A,B,A,A,B,C,C,A,C,G,A,A,B,G,A,A,B,A,A,A,A,A,C,B,C,B,C,C,C,C,A,D,B,D,A,A,A,B,C,B,C,C
2015,2,27,2704302,1,27222942,3,1,604997,1,5,17867134,1,0,13,6,1,...........,...........,...........,...........,0,1,270430231,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
