ID_ESCOLA,ID_DEPENDENCIA_ADM,ID_LOCALIZACAO,ID_TURMA,ID_ALUNO,TX_RESP_BLOCO_1_LP,TX_RESP_BLOCO_2_LP,TX_RESP_BLOCO_1_MT,TX_RESP_BLOCO_2_MT,IN_PROVA_BRASIL,ESTRATO_ANEB,PESO_ALUNO_LP,PESO_ALUNO_MT,PROFICIENCIA_LP,DESVIO_PADRAO_LP,PROFICIENCIA_LP_SAEB,DESVIO_PADRAO_LP_SAEB,TX_RESP_Q004,TX_RESP_Q006,TX_RESP_Q007,TX_RESP_Q008,TX_RESP_Q009,TX_RESP_Q011,TX_RESP_Q027,TX_RESP_Q028,TX_RESP_Q037,TX_RESP_Q043,TX_RESP_Q048,TX_RESP_Q049,TX_RESP_Q050,TX_RESP_Q051,'CLASSIFICADOR IDEB'
27036065,3,1,603817,17829394,CCDABCBABCC,BBDCDAAABDA,BDBBCDABCBB,CAADABDCCDC,1,270430231,1.109.088.809,1.109.088.809,-1.333.555,0.386734,176.514.961,21.306.477,C,A,B,B,B,B,A,A,A,D,A,A,B,A,'ACIMA DA M?DIA '
27036065,3,1,603817,17829395,CBACDDDACAB,DACACDDDDDB,ABDCCBDDCCB,ACBCCBBBADB,1,270430231,1.109.088.809,1.109.088.809,-0.576939,0.350372,21.819.948,19.303.172,D,D,?,B,?,B,A,A,B,D,A,A,A,A,'ACIMA DA M?DIA '
27036065,3,1,603817,17829396,CCCCBBDBBAA,DBCACDCBDCB,DABBCAACADC,DBDACACCBBD,1,270430231,1.109.088.809,1.109.088.809,0.564709,0.420054,281.096.708,23.142.187,C,A,B,B,A,A,A,A,A,C,A,A,A,A,'ACIMA DA M?DIA '
27036065,3,1,603817,17829398,BCDDCBADADA,BBCBBBADBBD,CAABADCCADD,CBBCAACCBDA,1,270430231,1.109.088.809,1.109.088.809,-0.660465,0.321798,213.597.752,17.728.934,C,A,B,B,B,B,A,A,A,B,A,A,A,B,'ACIMA DA M?DIA '
27036065,3,1,603817,17829399,CCDDCDADADB,CCAABACABBD,CCACDBDACCC,DDBBDCCBBBA,1,270430231,1.109.088.809,1.109.088.809,-1.443.223,0.336701,170.472.982,1.854.999,C,E,C,B,B,B,A,A,B,A,A,A,A,A,'ACIMA DA M?DIA '
27036065,3,1,603817,17829400,CCACBDDABAB,CABAABDAACA,DDABAADBBDB,AAABAACDCBC,1,270430231,1.109.088.809,1.109.088.809,-0.962112,0.305066,196.979.005,16.807.112,C,C,B,B,B,B,A,A,A,A,A,A,A,A,'ACIMA DA M?DIA '
27036065,3,1,603817,17829401,BCADCCCDCCA,BDDCDCACBAB,CDABADCABAA,BDDACDDDDCB,1,270430231,1.109.088.809,1.109.088.809,0.731242,0.464846,290.271.571,25.609.929,D,C,C,B,B,A,A,A,C,A,B,A,B,B,'ACIMA DA M?DIA '
27036065,3,1,603817,17829402,BDDADBACBAA,DCCCCBBABAB,BADABDCCACB,DCDBBADBCDA,1,270430231,1.109.088.809,1.109.088.809,-0.540424,0.322638,220.211.215,17.775.212,F,C,C,C,B,B,A,A,A,A,A,A,A,C,'ACIMA DA M?DIA '
27036065,3,1,603817,17829403,BBCDDDDDABC,CBCAADAACAD,ABACBDCCBCA,BDCCABDBCDC,1,270430231,1.109.088.809,1.109.088.809,-0.596439,0.332846,21.712.516,18.337.605,E,B,B,B,B,B,A,A,B,C,A,A,A,B,'ACIMA DA M?DIA '
27036065,3,1,603818,17829406,CACCBDAACAB,DBBACDDCDAB,BCCBDBDBBCD,CBAAAAACDDD,1,270430231,1.069.478.494,1.069.478.494,-0.456478,0.334831,224.836.082,18.446.966,D,A,B,B,B,B,A,A,B,A,A,A,A,B,'ACIMA DA M?DIA '
27036065,3,1,603818,17829407,ABBDBADCABC,DBCCCDABAAA,AAD.CDDBBCB,BCBAADAAADD,1,270430231,1.069.478.494,1.069.478.494,-1.774.657,0.397138,152.213.168,21.879.668,A,B,B,B,B,A,A,A,A,A,B,B,B,B,'ACIMA DA M?DIA '
27036065,3,1,603818,17829408,BCADCBDDDCA,BCCDABADBDB,CAABADDAABC,CCCBADDACCD,1,270430231,1.069.478.494,1.069.478.494,0.087902,0.346612,254.827.807,19.096.021,D,C,B,B,B,B,A,A,A,A,A,A,A,C,'ACIMA DA M?DIA '
27036065,3,1,603818,17829409,ACDABAACCAB,CBAABDDCDBB,AADACBACBAC,BBBBABDBCDB,1,270430231,1.069.478.494,1.069.478.494,-1.313.718,0.36153,177.607.848,19.917.903,C,B,B,B,B,B,?,A,B,A,A,A,A,B,'ACIMA DA M?DIA '
27036065,3,1,603818,17829410,BCDCDBACABC,BCBDDDBDDBA,AABBCDDCDCC,CAACCDDCADA,1,270430231,1.069.478.494,1.069.478.494,-0.267224,0.335658,235.262.721,18.492.528,F,B,C,B,B,B,A,A,B,C,A,A,A,B,'ACIMA DA M?DIA '
