ID_PROVA_BRASIL,ID_REGIAO,ID_UF,ID_MUNICIPIO,ID_AREA,ID_ESCOLA,ID_DEPENDENCIA_ADM,ID_LOCALIZACAO,ID_TURMA,ID_TURNO,ID_SERIE,ID_ALUNO,IN_SITUACAO_CENSO,IN_PREENCHIMENTO_PROVA,ID_CADERNO,ID_BLOCO_1,ID_BLOCO_2,TX_RESP_BLOCO_1_LP,TX_RESP_BLOCO_2_LP,TX_RESP_BLOCO_1_MT,TX_RESP_BLOCO_2_MT,IN_PROFICIENCIA,IN_PROVA_BRASIL,ESTRATO_ANEB,PESO_ALUNO_LP,PESO_ALUNO_MT,PROFICIENCIA_LP,DESVIO_PADRAO_LP,PROFICIENCIA_LP_SAEB,DESVIO_PADRAO_LP_SAEB,PROFICIENCIA_MT,DESVIO_PADRAO_MT,PROFICIENCIA_MT_SAEB,DESVIO_PADRAO_MT_SAEB,IN_PREENCHIMENTO_QUESTIONARIO,TX_RESP_Q001,TX_RESP_Q002,TX_RESP_Q003,TX_RESP_Q004,TX_RESP_Q005,TX_RESP_Q006,TX_RESP_Q007,TX_RESP_Q008,TX_RESP_Q009,TX_RESP_Q010,TX_RESP_Q011,TX_RESP_Q012,TX_RESP_Q013,TX_RESP_Q014,TX_RESP_Q015,TX_RESP_Q016,TX_RESP_Q017,TX_RESP_Q018,TX_RESP_Q019,TX_RESP_Q020,TX_RESP_Q021,TX_RESP_Q022,TX_RESP_Q023,TX_RESP_Q024,TX_RESP_Q025,TX_RESP_Q026,TX_RESP_Q027,TX_RESP_Q028,TX_RESP_Q029,TX_RESP_Q030,TX_RESP_Q031,TX_RESP_Q032,TX_RESP_Q033,TX_RESP_Q034,TX_RESP_Q035,TX_RESP_Q036,TX_RESP_Q037,TX_RESP_Q038,TX_RESP_Q039,TX_RESP_Q040,TX_RESP_Q041,TX_RESP_Q042,TX_RESP_Q043,TX_RESP_Q044,TX_RESP_Q045,TX_RESP_Q046,TX_RESP_Q047,TX_RESP_Q048,TX_RESP_Q049,TX_RESP_Q050,TX_RESP_Q051,IDEB,CLASSIFICADOR IDEB
2015,2,27,2704302,1,27034755,3,1,603737,1,5,17826696,1,1,6,6,7,ACDDDBDABAA,CDABDDAADCB,DCCBCCCCBDD,BCCCABACBBC,1,1,270430231,1.140.211.199,1.140.211.199,-0.785273,0.31826,20.672.166,17.534.014,-0.184456,0.333894,239.654.706,18.662.113,1,B,A,I,D,C,B,C,C,C,B,B,B,C,B,C,F,A,A,G,A,A,C,D,A,A,A,A,A,A,A,A,C,A,B,B,B,C,A,B,D,D,B,A,C,A,A,A,A,A,A,C,4.9,ABAIXO DA MÉDIA
2015,2,27,2704302,1,27034755,3,1,603737,1,5,17826697,1,1,1,1,2,CBBACCABDCB,BDDDACCDADB,ACDBCBBABCD,ADBBCABCBBB,1,1,270430231,1.140.211.199,1.140.211.199,-1.340.228,0.341774,176.147.323,18.829.479,-1.526.066,0.486883,164.669,27.213.024,1,B,B,J,D,E,B,B,B,A,A,B,A,A,B,D,F,A,A,G,A,A,B,G,A,A,B,A,A,A,A,A,C,A,B,A,C,B,A,A,A,A,B,A,A,A,A,A,A,A,A,B,4.9,ABAIXO DA MÉDIA
2015,2,27,2704302,1,27034755,3,1,603737,1,5,17826698,1,1,21,7,3,CADDDBCACDC,ACCDDDABBDB,DDCAADDBCCA,DCBABBBACBC,1,1,270430231,1.140.211.199,1.140.211.199,-0.732727,0.359367,209.616.596,19.798.737,-160.531,0.476838,160.239.868,26.651.586,1,A,A,K,C,B,A,B,B,A,A,A,B,B,C,E,F,A,A,G,A,B,A,G,A,B,B,A,A,A,A,A,C,A,B,C,A,C,A,B,A,E,B,C,A,A,A,A,A,A,A,B,4.9,ABAIXO DA MÉDIA
2015,2,27,2704302,1,27034755,3,1,603737,1,5,17826699,1,1,19,5,1,BDACDDBAABA,DBCAADDBBDB,ADACCDDAABB,CBCDBAACDBD,1,1,270430231,1.140.211.199,1.140.211.199,-0.651767,0.395702,214.076.954,21.800.554,-0.902009,0.33997,199.548.998,19.001.715,1,A,B,F,D,D,C,A,B,C,B,B,B,A,C,D,E,B,C,G,A,A,A,G,A,B,B,A,A,A,A,A,C,B,C,B,C,C,B,C,C,A,A,B,C,A,A,A,A,A,A,B,4.9,ABAIXO DA MÉDIA
2015,2,27,2704302,1,27034755,3,1,603737,1,5,17826700,1,1,12,5,7,BCBADDABBBA,CBDCADDABCA,CBACCDBCACA,DCCBCBDBCAC,1,1,270430231,1.140.211.199,1.140.211.199,-0.903145,0.327786,200.227.695,18.058.833,-0.554057,0.333706,218.996.845,18.651.605,1,A,B,I,D,B,A,A,B,B,A,B,A,A,C,C,F,A,A,G,A,A,B,G,A,A,,A,A,A,A,A,A,A,A,A,A,C,C,C,B,D,A,C,C,A,A,A,A,A,A,C,4.9,ABAIXO DA MÉDIA
2015,2,27,2704302,1,27034755,3,1,603737,1,5,17826701,1,1,18,4,7,BADCDAABCBB,CBDABDCADDC,BBBDBDCAACB,DDCBABBABBC,1,1,270430231,1.140.211.199,1.140.211.199,-0.628591,0.359948,215.353.798,19.830.746,-0.632887,0.390129,214.590.853,21.805.218,1,A,B,G,D,C,A,B,B,C,A,A,A,A,C,D,E,A,A,G,A,A,A,G,A,A,C,A,A,A,A,A,B,A,B,A,C,C,C,C,D,A,B,B,A,A,,A,A,A,A,C,4.9,ABAIXO DA MÉDIA
2015,2,27,2704302,1,27034755,3,1,603737,1,5,17826702,1,1,19,5,1,BDADDDCCABA,DBABCADCDDB,CBACCACDBBA,CBDBBCCBBAD,1,1,270430231,1.140.211.199,1.140.211.199,-0.806332,0.357299,205.561.449,19.684.803,-0.138529,0.347168,242.221.673,19.404.028,1,A,B,K,C,D,B,E,B,B,B,B,A,B,B,C,D,A,A,G,A,A,A,G,,A,B,A,A,A,A,A,C,,,B,C,B,C,B,A,,B,A,C,A,A,A,A,,A,B,4.9,ABAIXO DA MÉDIA
2015,2,27,2704302,1,27034755,3,1,603737,1,5,17826703,1,1,14,7,2,CABAABCACAD,ABBBAAAAAAA,DCABADDCBDC,AAADBACBDCD,1,1,270430231,1.140.211.199,1.140.211.199,-1.791.114,0.40595,151.306.497,22.365.151,-0.790125,0.387222,205.802.455,21.642.739,1,A,B,I,F,B,B,A,B,A,A,A,A,A,B,C,C,A,A,D,A,A,B,D,A,A,A,A,A,A,A,A,,C,C,A,C,C,A,,C,A,A,A,A,B,A,A,A,A,A,B,4.9,ABAIXO DA MÉDIA
2015,2,27,2704302,1,27034755,3,1,603738,2,5,17826706,1,1,15,1,4,DBBACDCBDCB,BDDCDCACBBB,ABCCBCAAACD,ABDDCDDAACB,1,1,270430231,1.098.526.058,1.098.526.058,0.553306,0.403964,280.468.478,22.255.735,-0.596149,0.391149,216.644.226,21.862.228,1,A,B,I,E,C,C,C,B,A,A,B,A,B,B,C,C,A,A,C,A,A,B,A,B,B,A,A,A,A,A,A,C,A,C,B,A,C,A,A,C,E,B,B,C,A,A,B,A,B,A,C,4.9,ABAIXO DA MÉDIA
2015,2,27,2704302,1,27034755,3,1,603738,2,5,17826707,1,1,5,5,6,ABCDBCDCBBA,CDBABAAACCD,ACACCDAACCA,DDBCCADBABD,1,1,270430231,1.098.526.058,1.098.526.058,-199.102,0.463978,140.293.003,25.562.108,-0.863035,0.392736,201.727.346,21.950.929,1,B,B,H,G,B,A,B,B,B,A,A,A,A,B,C,D,A,A,G,A,A,B,G,B,,A,A,A,A,A,B,C,B,B,B,B,C,B,A,B,A,B,A,A,C,A,D,D,B,B,C,4.9,ABAIXO DA MÉDIA
