TX_RESP_Q001,TX_RESP_Q002,TX_RESP_Q003,TX_RESP_Q004,TX_RESP_Q005,TX_RESP_Q006,TX_RESP_Q007,TX_RESP_Q008,TX_RESP_Q009,TX_RESP_Q010,TX_RESP_Q011,TX_RESP_Q012,TX_RESP_Q013,TX_RESP_Q014,TX_RESP_Q015,TX_RESP_Q016,TX_RESP_Q017,TX_RESP_Q018,TX_RESP_Q019,TX_RESP_Q020,TX_RESP_Q021,TX_RESP_Q022,TX_RESP_Q023,TX_RESP_Q024,TX_RESP_Q025,TX_RESP_Q026,TX_RESP_Q027,TX_RESP_Q028,TX_RESP_Q029,TX_RESP_Q030,TX_RESP_Q031,TX_RESP_Q032,TX_RESP_Q033,TX_RESP_Q034,TX_RESP_Q035,TX_RESP_Q036,TX_RESP_Q037,TX_RESP_Q038,TX_RESP_Q039,TX_RESP_Q040,TX_RESP_Q041,TX_RESP_Q042,TX_RESP_Q043,TX_RESP_Q044,TX_RESP_Q045,TX_RESP_Q046,TX_RESP_Q047,TX_RESP_Q048,TX_RESP_Q049,TX_RESP_Q050,TX_RESP_Q051,TX_RESP_Q052,TX_RESP_Q053,TX_RESP_Q054,TX_RESP_Q055,TX_RESP_Q056,TX_RESP_Q057,TX_RESP_Q058,TX_RESP_Q059,TX_RESP_Q060,TX_RESP_Q061,TX_RESP_Q062,TX_RESP_Q063,TX_RESP_Q064,TX_RESP_Q065,TX_RESP_Q066,TX_RESP_Q067,TX_RESP_Q068,TX_RESP_Q069,TX_RESP_Q070,TX_RESP_Q071,TX_RESP_Q072,TX_RESP_Q073,TX_RESP_Q074,TX_RESP_Q075,TX_RESP_Q076,TX_RESP_Q077,TX_RESP_Q078,TX_RESP_Q079,TX_RESP_Q080,TX_RESP_Q081,TX_RESP_Q082,TX_RESP_Q083,TX_RESP_Q084,TX_RESP_Q085,TX_RESP_Q086,TX_RESP_Q087,TX_RESP_Q088,TX_RESP_Q089,TX_RESP_Q090,TX_RESP_Q091,TX_RESP_Q092,TX_RESP_Q093,TX_RESP_Q094,TX_RESP_Q095,TX_RESP_Q096,TX_RESP_Q097,TX_RESP_Q098,TX_RESP_Q099,TX_RESP_Q100,TX_RESP_Q101,TX_RESP_Q102,TX_RESP_Q103,TX_RESP_Q104,TX_RESP_Q105,TX_RESP_Q106,TX_RESP_Q107,TX_RESP_Q108,TX_RESP_Q109,TX_RESP_Q110,TX_RESP_Q111,IDEB,CLASSIFICADOR IDEB
B,F,A,H,E,B,B,C,E,J,A,K,B,B,F,F,F,G,B,D,B,B,B,C,B,B,D,D,E,B,D,F,A,A,A,A,,D,A,C,C,C,B,C,D,D,D,D,C,B,C,C,C,B,B,E,A,B,A,B,A,C,D,E,B,B,B,D,C,D,A,C,B,D,C,C,B,A,A,A,A,B,A,B,A,B,A,A,A,A,A,B,B,B,B,A,A,B,B,A,A,A,A,A,A,A,A,A,C,C,C,4.8,ABAIXO DA MEDIA
B,C,B,D,C,C,B,C,B,H,C,H,A,B,F,D,D,F,A,A,B,C,B,C,C,B,E,E,E,C,E,F,A,A,A,A,C,A,B,G,D,D,B,D,C,C,C,C,D,B,B,C,B,C,A,C,A,A,A,A,A,D,D,E,B,C,C,A,A,A,C,A,A,A,B,A,A,A,A,A,A,B,A,B,A,B,B,A,A,B,A,B,B,B,B,B,B,B,B,A,A,A,B,A,B,B,A,A,B,C,C,4.8,ABAIXO DA MEDIA
B,D,F,H,B,C,B,C,E,G,C,G,B,G,F,D,D,G,B,B,B,C,B,B,C,B,E,D,E,B,E,H,A,A,A,B,D,A,B,F,C,C,A,C,C,C,C,D,B,B,A,B,B,B,B,C,A,B,B,B,A,C,C,D,D,C,C,A,D,A,B,D,A,A,A,D,A,A,A,A,A,B,A,B,A,B,A,B,A,B,B,B,B,B,B,B,B,B,B,A,A,A,B,A,B,B,B,A,B,C,C,4.8,ABAIXO DA MEDIA
B,D,B,H,D,C,B,C,C,I,C,I,A,E,F,E,D,G,B,C,B,B,C,C,B,B,E,E,E,B,C,H,A,A,A,A,E,C,A,H,D,E,B,C,D,D,D,D,C,A,B,C,A,A,A,B,A,A,A,A,A,C,D,D,B,C,C,B,A,A,C,C,B,B,A,A,A,A,A,B,A,B,A,B,A,B,B,A,A,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,C,C,4.7,ABAIXO DA MEDIA
B,D,B,D,D,C,B,C,E,J,A,J,B,B,D,D,C,F,B,C,B,C,C,B,B,B,E,A,E,C,B,F,A,A,A,A,D,A,A,D,E,E,B,C,C,C,B,D,B,C,B,C,C,C,B,E,A,B,A,B,A,D,D,D,D,D,C,A,A,A,A,B,B,B,A,D,A,B,B,A,A,B,A,B,A,B,A,B,A,A,A,B,B,B,B,B,B,B,B,A,B,B,B,A,B,B,B,A,B,C,C,4.7,ABAIXO DA MEDIA
B,E,C,D,E,C,B,C,E,J,A,J,A,B,D,C,C,G,B,E,B,C,B,B,B,B,,E,E,B,D,H,A,A,A,A,D,D,F,A,C,C,A,D,C,D,D,B,C,B,B,B,D,D,A,E,C,C,A,B,B,C,D,E,C,D,C,D,D,D,D,C,D,A,D,D,A,A,A,A,A,B,A,B,A,B,A,B,A,A,A,B,B,B,B,B,B,B,B,A,A,A,B,A,B,A,A,A,C,B,C,4.7,ABAIXO DA MEDIA
B,E,A,H,E,B,B,C,E,H,C,I,A,B,H,C,C,G,B,D,B,B,C,C,B,B,E,D,E,B,C,F,A,A,A,B,C,C,B,F,B,C,A,C,D,B,C,C,A,A,B,B,B,A,A,D,B,A,A,B,A,C,D,D,B,C,B,B,C,B,C,B,A,C,A,C,B,A,A,A,A,B,A,B,A,B,A,A,A,B,A,B,B,B,B,B,B,B,B,A,B,A,B,A,A,A,A,A,B,C,C,4.7,ABAIXO DA MEDIA
B,D,B,D,C,C,C,C,B,G,C,G,B,B,F,D,D,F,B,B,A,A,A,A,A,B,E,E,E,B,B,F,A,A,A,B,D,C,A,I,D,C,B,D,D,D,D,D,D,D,D,D,D,D,D,E,C,C,A,B,A,B,E,E,E,D,B,A,B,A,C,C,A,B,A,C,B,A,A,A,A,B,A,B,A,B,A,A,B,A,A,B,B,B,B,B,A,B,B,A,A,A,A,A,A,A,A,A,B,C,C,4.7,ABAIXO DA MEDIA
B,C,B,G,C,C,B,C,E,G,C,H,B,B,E,C,F,B,B,D,B,C,C,C,C,A,A,E,E,C,D,F,A,A,A,A,E,A,A,I,C,C,A,C,D,D,D,D,B,B,B,C,B,A,B,B,A,A,A,B,B,D,D,D,D,D,A,A,B,A,A,A,A,B,A,B,B,A,A,A,A,B,A,B,A,B,A,A,A,B,A,B,B,B,B,B,B,B,B,A,A,A,B,A,B,A,A,A,,C,C,4.7,ABAIXO DA MEDIA
A,E,B,D,B,B,B,A,A,I,C,I,B,E,G,E,E,G,B,C,B,B,C,B,B,A,A,C,E,B,E,E,A,A,A,B,C,A,A,A,D,D,B,C,B,D,D,D,B,B,B,C,B,B,A,B,B,A,A,B,A,D,D,E,C,C,A,A,B,B,B,C,A,B,A,B,B,A,A,A,A,B,A,B,A,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,B,C,C,4.7,ABAIXO DA MEDIA
