ID_ESCOLA,ID_LOCALIZACAO,ID_ALUNO,TX_RESP_BLOCO_1_LP,TX_RESP_BLOCO_2_LP,TX_RESP_BLOCO_1_MT,TX_RESP_BLOCO_2_MT,ESTRATO_ANEB,PESO_ALUNO_MT,PROFICIENCIA_MT,DESVIO_PADRAO_MT,PROFICIENCIA_MT_SAEB,DESVIO_PADRAO_MT_SAEB,IN_PREENCHIMENTO_QUESTIONARIO,TX_RESP_Q005,TX_RESP_Q007,TX_RESP_Q008,TX_RESP_Q009,TX_RESP_Q010,TX_RESP_Q012,TX_RESP_Q028,TX_RESP_Q029,TX_RESP_Q038,TX_RESP_Q044,TX_RESP_Q049,TX_RESP_Q050,TX_RESP_Q051,'CLASSIFICADOR IDEB'
27036049,1,17829363,BDACACCDACA,CCABBCBADBA,DCAACCDBDCC,AACADCBCAAB,270430231,1.127.950.863,-1.820.462,0.531194,148.214.522,29.689.669,1,B,B,B,B,B,B,A,A,?,?,A,A,A,'ACIMA DA M?DIA '
27036049,1,17829364,ABDCABADBBB,CAADDADACBB,ADDDCCABCAD,ADCABCCBDAD,270430231,1.127.950.863,-194.123,0.550165,141.464.517,30.750.003,1,?,B,B,A,A,A,A,A,?,A,B,A,A,'ACIMA DA M?DIA '
27036049,1,17829365,BCADADBBADC,CBACDDBBCDB,BBCABBCBCCC,CCBDCCDCADB,270430231,1.127.950.863,-1.483.084,0.482906,167.071.364,2.699.074,1,B,B,B,B,A,A,A,A,B,C,A,A,B,'ACIMA DA M?DIA '
27036049,1,17829366,BCCDCBBDCCA,DBABDBBCBDC,AACBAADBBBD,CCABABDCCDD,270430231,1.127.950.863,0.308038,0.336648,267.181.342,1.881.604,1,C,B,B,B,A,A,A,B,C,C,A,A,B,'ACIMA DA M?DIA '
27036049,1,17829367,CBDADDAADAB,CCCDABADBDA,BCABCBDBBDC,CCCDABDCCCB,270430231,1.127.950.863,0.11632,0.29895,256.465.777,16.709.011,1,E,D,C,C,A,B,A,A,B,A,A,A,A,'ACIMA DA M?DIA '
27036049,1,17829368,BAABDAABACD,ABDCBDDDDAA,AADBAADDCBD,CBDDDDBADCA,270430231,1.127.950.863,-1.737.163,0.475115,152.870.297,26.555.283,1,D,C,B,A,A,B,A,?,?,C,A,A,A,'ACIMA DA M?DIA '
27036049,1,17829369,DBACABACBDC,BDDDDDACAAB,CDBCBDBDCCA,BAACCCCCCCB,270430231,1.127.950.863,-0.871285,0.413499,201.266.234,23.111.422,1,A,A,C,C,B,A,A,A,?,A,A,A,A,'ACIMA DA M?DIA '
27036049,1,17829371,CBBDCDDACDB,CDBACBAACBA,BCACCBBBBBB,ADABAACBBBD,270430231,1.127.950.863,-0.17632,0.306814,240.109.446,17.148.549,1,?,C,B,B,A,A,A,A,B,C,A,A,C,'ACIMA DA M?DIA '
27036049,1,17829372,BCDDCBCDDCA,ADDCDAACBBB,BDABAADCBBA,BAAACDDDCCB,270430231,1.127.950.863,-0.083095,0.318237,245.320.008,17.787.007,1,C,B,B,B,A,A,A,A,B,A,A,A,D,'ACIMA DA M?DIA '
27036049,1,17829373,CCDCBBDBBAB,BACDCBCDCCA,DACBCBCACDC,BDABAACBBBD,270430231,1.127.950.863,0.078506,0.31345,254.352.264,1.751.945,1,C,C,B,B,A,A,A,A,B,A,A,A,B,'ACIMA DA M?DIA '
27036049,1,17829374,BCBCCADDACA,CAABABADBDB,CAABCACBCCD,CDCCCBBCCBC,270430231,1.127.950.863,-0.785861,0.398376,20.604.078,22.266.162,1,B,B,B,B,A,B,A,A,C,A,A,A,A,'ACIMA DA M?DIA '
27036065,1,17829377,BACDCBDADCA,BDCCDCACADD,ADABAACCBCD,BADDBCCCACB,270430231,1.109.088.809,-0.825902,0.387238,203.802.796,21.643.633,1,D,E,B,C,A,A,A,A,B,A,A,A,A,'ACIMA DA M?DIA '
27036065,1,17829378,DBCCABADBDC,BCCBDCCCAAB,DCCBADDDCCD,BADBCDCCCCB,270430231,1.109.088.809,0.253542,0.319884,264.135.434,17.879.061,1,C,B,B,B,A,A,A,A,C,A,A,A,B,'ACIMA DA M?DIA '
27036065,1,17829379,BCDDDDAAABA,DBAACDDBDDB,CBACBDDCBDA,ABDDCCCACCD,270430231,1.109.088.809,0.114909,0.357339,256.386.913,19.972.509,1,C,B,B,?,B,A,B,A,?,A,A,A,B,'ACIMA DA M?DIA '
27036065,1,17829380,BCBCDBBADBA,DCBCCAAAADA,DCBDCDCBDDA,CDCBDACCCCC,270430231,1.109.088.809,-1.528.039,0.566501,164.558.724,3.166.306,1,E,B,B,A,A,B,A,A,?,B,A,A,A,'ACIMA DA M?DIA '
27036065,1,17829381,BCDDAADAABC,CADBDDAACBB,DAACBDCCBDA,DCABABBBBBC,270430231,1.109.088.809,0.377456,0.305624,271.061.276,17.082.037,1,D,D,B,B,A,B,A,A,A,C,A,A,B,'ACIMA DA M?DIA '
27036065,1,17829382,DBBACDDBDCB,ACCDABACBDC,ABCABACCADD,ACCDABDDCBA,270430231,1.109.088.809,-0.28405,0.319379,234.088.165,17.850.836,1,B,B,B,B,A,B,A,A,C,B,A,A,B,'ACIMA DA M?DIA '
27036065,1,17829384,DCACCBDBDBB,DBBCCCDADDB,DDBBCBACBDB,ABBCBCBCCDD,270430231,1.109.088.809,0.039118,0.341665,252.150.777,19.096.452,1,C,B,D,D,A,A,A,A,B,A,A,A,B,'ACIMA DA M?DIA '
27036065,1,17829385,BABADBBABBD,CCABDCBAABA,DDDBABDDADB,ACAABCCCCBD,270430231,1.109.088.809,-1.240.502,0.457135,180.629.836,25.550.339,1,C,B,C,A,A,C,A,A,A,C,A,A,B,'ACIMA DA M?DIA '
27036065,1,17829386,BCDADBACAAB,DCACBBAABBB,AADCCDDDAAB,DCBBCABBADB,270430231,1.109.088.809,-0.270502,0.339071,234.845.395,18.951.468,1,C,B,B,A,A,A,A,A,B,C,A,A,B,'ACIMA DA M?DIA '
27036065,1,17829387,DBBACDCADCB,ABBDCBCACAA,CBBABDACBBD,CAABCACBBAD,270430231,1.109.088.809,-0.251711,0.33762,235.895.667,18.870.368,1,B,B,B,B,A,B,A,A,B,C,B,A,B,'ACIMA DA M?DIA '
27036065,1,17829388,BDCDBAACADA,CCCAACDDBBA,BACBCDBDACC,ACAAADDACCA,270430231,1.109.088.809,-0.708545,0.460786,210.362.152,25.754.402,1,B,B,B,B,?,B,A,A,?,A,C,A,D,'ACIMA DA M?DIA '
