ID_PROVA_BRASIL,ID_REGIAO,ID_UF,ID_MUNICIPIO,ID_AREA,ID_ESCOLA,ID_DEPENDENCIA_ADM,ID_LOCALIZACAO,ID_TURMA,ID_TURNO,ID_SERIE,ID_ALUNO,IN_SITUACAO_CENSO,IN_PREENCHIMENTO_PROVA,ID_CADERNO,ID_BLOCO_1,ID_BLOCO_2,TX_RESP_BLOCO_1_LP,TX_RESP_BLOCO_2_LP,TX_RESP_BLOCO_1_MT,TX_RESP_BLOCO_2_MT,IN_PROFICIENCIA,IN_PROVA_BRASIL,ESTRATO_ANEB,PESO_ALUNO_MT,PROFICIENCIA_MT,DESVIO_PADRAO_MT,PROFICIENCIA_MT_SAEB,DESVIO_PADRAO_MT_SAEB,IN_PREENCHIMENTO_QUESTIONARIO,TX_RESP_Q001,TX_RESP_Q002,TX_RESP_Q003,TX_RESP_Q004,TX_RESP_Q005,TX_RESP_Q006,TX_RESP_Q007,TX_RESP_Q008,TX_RESP_Q009,TX_RESP_Q010,TX_RESP_Q011,TX_RESP_Q012,TX_RESP_Q013,TX_RESP_Q014,TX_RESP_Q015,TX_RESP_Q016,TX_RESP_Q017,TX_RESP_Q018,TX_RESP_Q019,TX_RESP_Q020,TX_RESP_Q021,TX_RESP_Q022,TX_RESP_Q023,TX_RESP_Q024,TX_RESP_Q025,TX_RESP_Q026,TX_RESP_Q027,TX_RESP_Q028,TX_RESP_Q029,TX_RESP_Q030,TX_RESP_Q031,TX_RESP_Q032,TX_RESP_Q033,TX_RESP_Q034,TX_RESP_Q035,TX_RESP_Q036,TX_RESP_Q037,TX_RESP_Q038,TX_RESP_Q039,TX_RESP_Q040,TX_RESP_Q041,TX_RESP_Q042,TX_RESP_Q043,TX_RESP_Q044,TX_RESP_Q045,TX_RESP_Q046,TX_RESP_Q047,TX_RESP_Q048,TX_RESP_Q049,TX_RESP_Q050,TX_RESP_Q051,TX_RESP_Q052,TX_RESP_Q053,TX_RESP_Q054,TX_RESP_Q055,TX_RESP_Q056,TX_RESP_Q057,'RESULTADO IDEB',CONDICAO
2015,2,27,2709152,2,27044270,3,2,604385,2,9,17847693,1,1,4,4,5,BADDAACDBBDDB,CBAACDCACCADD,ABCCDDACCAADA,CDADACBDCBBDA,1,1,270915232,1.031.250.000.000.000,1.983.729.000.000.000,0.344088,360.839.613.000.000.000,19.231.879.000.000.000,1,A,B,K,D,C,C,B,C,B,A,B,A,A,C,D,D,B,A,G,A,A,A,G,A,A,B,A,A,A,A,A,B,B,A,B,A,A,A,B,A,A,A,A,A,B,A,A,A,A,A,A,A,A,A,A,A,A,5.8,'ACIMA DA MEDIA'
2015,2,27,2709152,2,27044270,3,2,604385,2,9,17847694,1,1,14,7,2,CBDCABDDABABA,BBAADDCADDDDA,CCBADBCDBADBC,BCDBBDADACDBD,1,1,270915232,1.031.250.000.000.000,2.117.071.000.000.000,0.338112,368.292.408.000.000.000,18.897.867.000.000.000,1,B,B,K,C,B,B,B,B,A,A,A,B,B,B,D,D,A,A,C,A,A,A,B,B,B,A,A,A,B,A,A,C,B,B,B,C,B,A,B,B,C,A,B,A,B,C,A,A,A,A,A,A,A,A,A,B,A,5.8,'ACIMA DA MEDIA'
2015,2,27,2709152,2,27044270,3,2,604385,2,9,17847695,1,1,18,4,7,BADDAADDBBDDB,ABDBAADDDBABA,ABCCDDACCCADC,CCBADBCDBDDCC,1,1,270915232,1.031.250.000.000.000,2.272.320.000.000.000,0.376629,376.969.636.000.000.000,21.050.672.000.000.000,1,B,C,H,C,C,B,C,B,A,A,B,A,B,B,D,D,A,A,F,A,A,A,F,A,A,A,A,A,A,A,A,C,B,B,B,B,B,?,C,B,C,B,B,?,B,B,A,A,A,A,A,A,A,A,A,B,C,5.8,'ACIMA DA MEDIA'
2015,2,27,2709152,2,27044270,3,2,604385,2,9,17847696,1,1,9,2,4,BDAADBAADACDA,BDACAAC.D.BBB,CCCAADAABB.CC,ABBCDDACCDDAB,1,1,270915232,1.031.250.000.000.000,0.600730000000000,0.441005,283.540.579.000.000.000,24.648.796.000.000.000,1,A,A,F,D,B,B,B,B,A,A,A,A,A,B,D,C,A,A,G,A,A,A,G,A,A,B,A,A,A,A,B,B,B,B,?,A,A,B,B,C,C,B,A,E,B,A,A,B,A,B,A,A,A,A,A,C,C,5.8,'ACIMA DA MEDIA'
2015,2,27,2709152,2,27044270,3,2,604385,2,9,17847697,1,1,10,3,5,DADDBCDDBBABA,CADACDCACCDCA,CDADBCCCDACAA,ADBDAAACCDAAA,1,1,270915232,1.031.250.000.000.000,0.431906000000000,0.403995,274.104.613.000.000.000,22.580.221.000.000.000,1,B,B,H,C,B,C,B,B,B,B,A,B,A,B,C,E,A,A,G,A,A,A,G,A,A,A,A,A,A,A,A,C,A,A,B,A,B,A,C,C,C,C,C,D,B,B,A,A,A,A,A,A,A,A,A,C,C,5.8,'ACIMA DA MEDIA'
2015,2,27,2709152,2,27044270,3,2,604385,2,9,17847698,1,1,4,4,5,BDDDAADDBBDDB,CAAABDCACBCDD,AAACADACCACCD,CBBDBACCCDBDA,1,1,270915232,1.031.250.000.000.000,0.435421000000000,0.371801,274.301.074.000.000.000,20.780.823.000.000.000,1,B,B,E,E,B,B,B,B,A,A,A,A,A,B,C,D,A,A,B,A,A,B,G,A,B,C,A,B,B,B,B,C,A,A,A,A,B,C,A,C,C,C,A,B,B,A,A,A,A,A,B,A,B,C,A,A,C,5.8,'ACIMA DA MEDIA'
2015,2,27,2709152,2,27044270,3,2,604385,2,9,17847699,1,1,9,2,4,BDCADDCADCDDA,BADDAADDBADDC,CCDDBCAAACCDA,ABCCDDACCCADA,1,1,270915232,1.031.250.000.000.000,1.443.282.000.000.000,0.374179,330.632.772.000.000.000,20.913.735.000.000.000,1,A,F,F,B,A,B,B,B,A,A,A,B,A,B,C,F,A,A,A,B,B,A,G,?,?,A,?,?,?,?,?,C,C,C,C,B,A,A,B,C,B,B,D,A,B,A,A,A,A,A,B,A,A,A,A,B,A,5.8,'ACIMA DA MEDIA'
2015,2,27,2709152,2,27044270,3,2,604385,2,9,17847700,1,1,17,3,6,DCDDACDDBBACA,CACBDCBBBCDDA,ABBADAADCCDDA,AADDBBCCADCDC,1,1,270915232,1.031.250.000.000.000,-1.301.805.000.000.000,0.626017,177.203.469.000.000.000,34.989.547.000.000.000,1,B,F,H,D,A,B,B,B,B,A,B,A,A,B,D,F,A,A,C,A,A,A,G,A,A,A,A,A,A,A,A,C,B,C,A,B,C,B,B,C,B,B,A,A,B,B,A,B,A,A,B,A,A,A,A,B,A,5.8,'ACIMA DA MEDIA'
2015,2,27,2709152,2,27044270,3,2,604385,2,9,17847701,1,1,3,3,4,DADDBCDDDBACD,CDBDBADDCDBAB,CDADACACCCAAA,AADABDBACADAC,1,1,270915232,1.031.250.000.000.000,-0.552465000000000,0.512186,219.085.826.000.000.000,28.627.268.000.000.000,1,B,B,F,C,C,A,A,C,C,A,B,B,A,B,C,E,A,A,E,A,A,A,B,A,A,B,A,A,A,A,A,B,A,A,B,C,B,A,C,B,C,C,A,B,?,?,?,?,?,?,?,?,?,?,?,?,?,5.8,'ACIMA DA MEDIA'
2015,2,27,2709152,2,27044270,3,2,604385,2,9,17847702,1,1,14,7,2,DBDDAADDACDDD,BCDAABDDBACDB,BBDDDCDDBDDCD,DDCDBDAADBCCA,1,1,270915232,1.031.250.000.000.000,-0.202822000000000,0.600724,238.628.187.000.000.000,33.575.863.000.000.000,1,A,F,H,C,B,B,B,B,B,A,C,B,?,?,D,B,A,A,A,A,B,A,G,A,A,A,A,A,A,A,A,B,C,A,C,A,A,C,B,B,B,A,B,A,?,A,A,A,A,A,A,A,A,A,A,A,C,5.8,'ACIMA DA MEDIA'
