ID_PROVA_BRASIL,ID_REGIAO,ID_UF,ID_MUNICIPIO,ID_AREA,ID_ESCOLA,ID_DEPENDENCIA_ADM,ID_LOCALIZACAO,ID_TURMA,ID_TURNO,ID_SERIE,ID_ALUNO,IN_SITUACAO_CENSO,IN_PREENCHIMENTO_PROVA,ID_CADERNO,ID_BLOCO_1,ID_BLOCO_2,TX_RESP_BLOCO_1_LP,TX_RESP_BLOCO_2_LP,TX_RESP_BLOCO_1_MT,TX_RESP_BLOCO_2_MT,IN_PROFICIENCIA,IN_PROVA_BRASIL,ESTRATO_ANEB,PESO_ALUNO_LP,PESO_ALUNO_MT,PROFICIENCIA_LP,DESVIO_PADRAO_LP,PROFICIENCIA_LP_SAEB,DESVIO_PADRAO_LP_SAEB,IN_PREENCHIMENTO_QUESTIONARIO,TX_RESP_Q001,TX_RESP_Q002,TX_RESP_Q003,TX_RESP_Q004,TX_RESP_Q005,TX_RESP_Q006,TX_RESP_Q007,TX_RESP_Q008,TX_RESP_Q009,TX_RESP_Q010,TX_RESP_Q011,TX_RESP_Q012,TX_RESP_Q013,TX_RESP_Q014,TX_RESP_Q015,TX_RESP_Q016,TX_RESP_Q017,TX_RESP_Q018,TX_RESP_Q019,TX_RESP_Q020,TX_RESP_Q021,TX_RESP_Q022,TX_RESP_Q023,TX_RESP_Q024,TX_RESP_Q025,TX_RESP_Q026,TX_RESP_Q027,TX_RESP_Q028,TX_RESP_Q029,TX_RESP_Q030,TX_RESP_Q031,TX_RESP_Q032,TX_RESP_Q033,TX_RESP_Q034,TX_RESP_Q035,TX_RESP_Q036,TX_RESP_Q037,TX_RESP_Q038,TX_RESP_Q039,TX_RESP_Q040,TX_RESP_Q041,TX_RESP_Q042,TX_RESP_Q043,TX_RESP_Q044,TX_RESP_Q045,TX_RESP_Q046,TX_RESP_Q047,TX_RESP_Q048,TX_RESP_Q049,TX_RESP_Q050,TX_RESP_Q051,'CLASSIFICADOR IDEB'
2015,2,27,2704302,1,27036049,3,1,603816,2,5,17829354,1,1,17,3,6,CCCBABADBDC,DCCCBBDBBAB,DCCBBBDACAB,DCCBDCDCADB,1,1,270430231,1.127.950.863,1.127.950.863,-0.048904,0.316005,247.290.704,17.409.778,1,B,B,G,D,C,B,B,B,B,A,A,A,A,B,B,C,A,A,E,A,A,B,E,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,B,A,B,A,C,A,A,A,A,A,A,A,'ACIMA DA M?DIA '
2015,2,27,2704302,1,27036049,3,1,603816,2,5,17829355,1,1,11,4,6,BDDADCACBDB,DCCABBBBBAB,ACABCDBDDAB,DACBCACBCDC,1,1,270430231,1.127.950.863,1.127.950.863,-0.273721,0.338975,23.490.478,18.675.273,1,B,B,D,C,D,B,B,B,A,A,A,A,B,B,C,C,A,A,E,A,A,A,E,A,A,A,A,A,A,A,A,C,B,?,B,B,B,B,B,A,E,B,A,A,A,A,A,A,A,A,B,'ACIMA DA M?DIA '
2015,2,27,2704302,1,27036049,3,1,603816,2,5,17829356,1,1,12,5,7,BBADDDDAADB,DADDDADACAB,ADACBBDCACA,BADBDBDABBD,1,1,270430231,1.127.950.863,1.127.950.863,-1.362.689,0.381616,174.909.871,21.024.509,1,B,B,J,D,C,B,B,C,B,B,B,C,C,B,D,E,A,A,B,A,B,A,F,A,B,A,A,A,A,A,A,A,A,A,B,B,A,B,A,B,A,B,B,C,A,A,A,A,A,A,A,'ACIMA DA M?DIA '
2015,2,27,2704302,1,27036049,3,1,603816,2,5,17829357,1,1,19,5,1,BABDADADDBA,DBAACDCADDB,BAACBDCDACA,DDADDABADDD,1,1,270430231,1.127.950.863,1.127.950.863,-0.644163,0.340809,214.495.884,18.776.314,1,B,B,I,D,D,C,B,B,B,B,B,A,B,B,C,C,A,A,G,A,A,B,G,A,A,A,A,A,A,A,A,C,B,C,C,C,C,B,C,B,C,B,A,A,A,A,A,A,A,A,C,'ACIMA DA M?DIA '
2015,2,27,2704302,1,27036049,3,1,603816,2,5,17829358,1,1,1,1,2,DBDACDCBDDB,BBCBCDCADCB,CCCABBACADD,BAABAABDCDC,1,1,270430231,1.127.950.863,1.127.950.863,-0.979764,0.368793,196.006.496,20.318.047,1,B,B,A,C,B,B,A,A,A,A,A,A,A,B,C,D,A,B,F,A,A,B,F,A,A,A,A,A,A,A,A,?,?,?,B,?,?,?,B,C,A,B,A,A,A,A,A,A,A,A,B,'ACIMA DA M?DIA '
2015,2,27,2704302,1,27036049,3,1,603816,2,5,17829359,1,1,8,1,3,DBACCDCABDC,BCDDBBBDBAB,CBBDBCCCACB,ACDCCACACCC,1,1,270430231,1.127.950.863,1.127.950.863,-1.597.678,0.390035,161.963.536,2.148.834,1,A,B,I,D,C,A,B,B,A,A,B,B,A,B,C,B,A,A,A,B,A,A,G,A,A,A,A,A,A,A,A,?,?,?,?,?,?,?,?,D,A,B,B,A,A,A,C,A,A,A,C,'ACIMA DA M?DIA '
2015,2,27,2704302,1,27036049,3,1,603816,2,5,17829360,1,1,13,6,1,DCACBCDCDDB,DBDACDAADDB,DDDCBBDBBBD,BDBCBDBCBDD,1,1,270430231,1.127.950.863,1.127.950.863,-0.790151,0.303434,206.452.914,16.717.199,1,B,B,I,D,E,B,D,C,A,A,B,B,A,B,C,D,A,A,C,A,A,B,F,A,A,A,A,A,A,A,B,C,B,C,B,C,B,B,C,B,A,B,A,A,A,A,A,A,A,A,D,'ACIMA DA M?DIA '
2015,2,27,2704302,1,27036049,3,1,603816,2,5,17829362,1,1,1,1,2,DBBACDDCDAB,DBBBCBDDACA,ABBBCBCCCCC,CAABBCDBCCD,1,1,270430231,1.127.950.863,1.127.950.863,-0.472271,0.329978,223.965.992,18.179.598,1,A,B,B,C,C,C,?,C,B,A,B,A,B,B,C,E,A,A,G,A,A,A,G,A,A,A,A,A,A,A,A,C,A,B,A,A,B,B,B,C,E,B,A,C,A,A,B,A,A,A,D,'ACIMA DA M?DIA '
2015,2,27,2704302,1,27036049,3,1,603816,2,5,17829363,1,1,6,6,7,BDACACCDACA,CCABBCBADBA,DCAACCDBDCC,AACADCBCAAB,1,1,270430231,1.127.950.863,1.127.950.863,-2.004.762,0.468104,13.953.591,25.789.424,1,B,?,H,F,B,B,B,B,B,B,B,B,B,B,B,A,A,A,B,A,A,A,B,A,A,C,A,A,A,A,A,C,?,?,?,?,B,?,?,A,A,A,D,?,B,C,A,A,A,A,A,'ACIMA DA M?DIA '
2015,2,27,2704302,1,27036049,3,1,603816,2,5,17829364,1,1,4,4,5,ABDCABADBBB,CAADDADACBB,ADDDCCABCAD,ADCABCCBDAD,1,1,270430231,1.127.950.863,1.127.950.863,-1.670.563,0.424194,157.948.057,23.370.274,1,A,F,I,E,?,B,B,B,A,A,A,A,A,B,B,D,A,A,G,A,B,A,G,A,B,A,A,A,A,A,A,?,?,?,?,A,?,?,?,B,B,A,C,A,B,A,B,A,B,A,A,'ACIMA DA M?DIA '
