@relation 'ALUNO ORD TOTAL. IDEB-EXCLUIDOS ALUNOS S RESP APSOCIOestevam'

@attribute TX_RESP_Q001 {A,B}
A,B,G,D,C,A,B,B,C,A,A,A,A,C,D,E,A,A,G,A,A,A,G,A,A,C,A,A,A,A,A,B,A,B,A,C,C,C,C,D,A,B,B,A,A,?,A,A,A,A,C,'ABAIXO DA M�DIA'
A,B,K,C,D,B,E,B,B,B,B,A,B,B,C,D,A,A,G,A,A,A,G,?,A,B,A,A,A,A,A,C,?,?,B,C,B,C,B,A,?,B,A,C,A,A,A,A,?,A,B,'ABAIXO DA M�DIA'
A,B,I,F,B,B,A,B,A,A,A,A,A,B,C,C,A,A,D,A,A,B,D,A,A,A,A,A,A,A,A,?,C,C,A,C,C,A,?,C,A,A,A,A,B,A,A,A,A,A,B,'ABAIXO DA M�DIA'
A,B,I,E,C,C,C,B,A,A,B,A,B,B,C,C,A,A,C,A,A,B,A,B,B,A,A,A,A,A,A,C,A,C,B,A,C,A,A,C,E,B,B,C,A,A,B,A,B,A,C,'ABAIXO DA M�DIA'
B,B,H,G,B,A,B,B,B,A,A,A,A,B,C,D,A,A,G,A,A,B,G,B,?,A,A,A,A,A,B,C,B,B,B,B,C,B,A,B,A,B,A,A,C,A,D,D,B,B,C,'ABAIXO DA M�DIA'
B,A,J,C,C,A,B,B,B,A,A,A,A,B,E,D,B,A,F,A,A,B,F,A,A,A,A,A,A,A,A,?,A,B,?,A,C,B,A,A,E,B,B,C,B,A,A,A,A,A,B,'ABAIXO DA M�DIA'
B,B,B,D,B,A,B,B,B,A,A,A,A,B,B,C,A,A,G,A,A,A,G,A,A,A,A,A,A,A,A,?,B,A,A,C,C,C,C,B,C,A,B,A,B,A,A,A,A,A,A,'ABAIXO DA M�DIA'
B,F,D,D,C,B,D,B,B,A,B,A,A,C,D,D,A,A,G,A,A,C,G,A,A,A,A,B,A,A,B,C,A,C,A,A,B,B,A,B,E,B,B,A,A,A,A,A,B,A,B,'ABAIXO DA M�DIA'
B,F,C,C,B,A,B,C,B,A,B,A,A,C,C,F,A,A,G,A,A,A,G,A,A,A,A,A,A,A,B,A,B,C,B,A,C,B,A,A,A,B,A,A,A,A,B,A,A,A,B,'ABAIXO DA M�DIA'
A,A,I,G,B,B,B,B,A,B,A,B,A,B,C,D,A,A,B,A,A,B,B,A,A,C,A,A,A,A,A,B,B,C,C,C,C,B,C,E,E,B,B,A,B,A,B,A,B,B,A,'ABAIXO DA M�DIA'
