ID_AREA,ID_ESCOLA,ID_DEPENDENCIA_ADM,ID_LOCALIZACAO,ID_TURMA,ID_TURNO,ID_ALUNO,TX_RESP_BLOCO_1_LP,TX_RESP_BLOCO_2_LP,TX_RESP_BLOCO_1_MT,TX_RESP_BLOCO_2_MT,ESTRATO_ANEB,PESO_ALUNO_LP,PROFICIENCIA_LP,PROFICIENCIA_LP_SAEB,DESVIO_PADRAO_LP_SAEB,TX_RESP_Q002,TX_RESP_Q003,TX_RESP_Q004,TX_RESP_Q017,TX_RESP_Q029,TX_RESP_Q057,'RESULTADO IDEB',CONDICAO
2,27044270,3,2,604385,2,17847704,DCCDACBBBBCDA,CBDDBDDBDBCBA,BCBCAABACCBDA,CCBDBCCDADCDD,270915232,1.031.250.000.000.000,-0.067929000000000,246.242.553.000.000.000,18.550.486.000.000.000,B,C,B,B,A,C,5.8,'ACIMA DA MEDIA'
2,27044270,3,2,604385,2,17847705,BACABDCADADDA,CCDDBDDDBBABD,ADCCBDAAACCBB,CBABCCACDCCDC,270915232,1.031.250.000.000.000,0.236943000000000,263.038.977.000.000.000,18.878.182.000.000.000,B,G,B,A,A,D,5.8,'ACIMA DA MEDIA'
2,27044270,3,2,604385,2,17847706,BACDCCACDCDDC,ACBABCBCCACCD,DCABCDCDBCCCC,CABDCCBCDDDDC,270915232,1.031.250.000.000.000,-1.142.622.000.000.000,187.034.102.000.000.000,25.923.245.000.000.000,B,F,B,A,A,A,5.8,'ACIMA DA MEDIA'
2,27044270,3,2,604385,2,17847707,.............,.............,.............,.............,270915232,?,?,?,?,?,?,?,?,?,?,5.8,'ACIMA DA MEDIA'
2,27044270,3,2,604385,2,17847708,BDABBCBBBAACA,BDCBDCCADDABA,AADCBAAACBCAC,ABBDBCAACDDAD,270915232,1.031.250.000.000.000,-0.143192000000000,242.096.061.000.000.000,19.567.620.000.000.000,B,C,C,A,A,C,5.8,'ACIMA DA MEDIA'
2,27044289,3,1,604386,1,17847709,BAAADCCADDADC,DBBDBBDDDBCCA,CDCBBDAABCDBD,CBADCAAADCCCA,270915231,1.088.235.294.100.000,0.471760000000000,275.975.835.000.000.000,18.009.690.000.000.000,B,B,B,A,A,A,4.8,'ABAIXO DA MEDIA'
2,27044289,3,1,604386,1,17847710,BCADCDDDACCAC,CCBCDDDDDBCCC,CCCBBBDDBCCBC,CCBDBCBCDCACB,270915231,1.088.235.294.100.000,-0.485465000000000,223.239.091.000.000.000,19.057.015.000.000.000,B,C,B,A,A,A,4.8,'ABAIXO DA MEDIA'
2,27044289,3,1,604386,1,17847711,ABBBBBDDABABA,BDDADDCADADCB,ABCDBCBADDCAB,CDCDACAABBDDA,270915231,1.088.235.294.100.000,0.059957000000000,253.288.223.000.000.000,19.091.283.000.000.000,B,F,D,A,A,A,4.8,'ABAIXO DA MEDIA'
2,27044289,3,1,604386,1,17847712,.............,.............,.............,.............,270915231,?,?,?,?,?,?,?,?,?,?,4.8,'ABAIXO DA MEDIA'
2,27044289,3,1,604386,1,17847713,BDDACBDDADCAB,CADBDCCAABADA,ABBDDBBBDCADA,BBABCAADACCCC,270915231,1.088.235.294.100.000,-1.146.157.000.000.000,186.839.347.000.000.000,24.650.699.000.000.000,C,A,B,A,B,A,4.8,'ABAIXO DA MEDIA'
2,27044289,3,1,604386,1,17847714,CADABACACCDCA,BACDDCDDBBAAA,ACBDDADCCDAAD,CDCCBBBDDDCCA,270915231,1.088.235.294.100.000,-0.287110000000000,234.167.135.000.000.000,18.300.417.000.000.000,B,C,B,A,A,A,4.8,'ABAIXO DA MEDIA'
2,27044289,3,1,604386,1,17847715,.............,.............,.............,.............,270915231,?,?,?,?,?,?,?,?,?,?,4.8,'ABAIXO DA MEDIA'
2,27044289,3,1,604386,1,17847716,DAABBADDDBDCD,AABABAABABABB,ABBBACACDCDAC,CCCBAABDCABAD,270915231,1.088.235.294.100.000,-0.644016000000000,214.503.983.000.000.000,23.067.811.000.000.000,D,K,C,A,A,C,4.8,'ABAIXO DA MEDIA'
2,27044289,3,1,604386,1,17847717,CADACDCACCBDB,BCCABDCC.AACB,CAADACACCBCDD,ACCCABDDBADCC,270915231,1.088.235.294.100.000,0.751545000000000,291.390.131.000.000.000,21.057.179.000.000.000,B,D,B,A,A,A,4.8,'ABAIXO DA MEDIA'
2,27044289,3,1,604386,1,17847718,BAAACACBABDDA,AADBCDCBABADD,DACDDBCCCABAD,BBCDACACDADBB,270915231,1.088.235.294.100.000,-1.068.591.000.000.000,191.112.718.000.000.000,28.768.322.000.000.000,B,J,C,A,A,C,4.8,'ABAIXO DA MEDIA'
2,27044289,3,1,604386,1,17847719,BCBACDDCCACDC,BDBADDAADADDA,BABBCCDDBCDAC,BCBCBDAAACCBA,270915231,1.088.235.294.100.000,0.775924000000000,292.733.252.000.000.000,21.258.050.000.000.000,B,C,C,A,A,A,4.8,'ABAIXO DA MEDIA'
2,27044289,3,1,604386,1,17847720,BACDAACDBBDDB,BCABBCBBDDDDA,DBBCCDACBCCAC,CAACADAADCADA,270915231,1.088.235.294.100.000,1.074.685.000.000.000,309.193.001.000.000.000,23.368.566.000.000.000,D,C,B,A,A,A,4.8,'ABAIXO DA MEDIA'
2,27044289,3,1,604386,1,17847721,DABBDBBBBBCDA,BBAADDCADBDDA,DAAAACAACABBA,ADBADCAABAACA,270915231,1.088.235.294.100.000,0.623734000000000,284.348.594.000.000.000,19.994.098.000.000.000,B,A,B,A,A,A,4.8,'ABAIXO DA MEDIA'
2,27044289,3,1,604386,1,17847722,BACDAADDCBCAB,CABACBBAACDBB,AABCCABBBAABB,CCABCBDCBDABC,270915231,1.088.235.294.100.000,-0.069395000000000,246.161.786.000.000.000,21.289.949.000.000.000,B,K,C,A,A,C,4.8,'ABAIXO DA MEDIA'
2,27044289,3,1,604386,1,17847723,BCDABDCADBDCA,BACDDCDCBCAAD,ADDBBCAAAACDA,DABABBBCCABAA,270915231,1.088.235.294.100.000,-0.636563000000000,214.914.594.000.000.000,20.520.294.000.000.000,C,H,C,A,A,A,4.8,'ABAIXO DA MEDIA'
2,27044289,3,1,604386,1,17847724,DCADBDDDCBCCC,BBCDADDDBCDAA,CCAADABBAACBC,AADDADADCCAAB,270915231,1.088.235.294.100.000,-0.104659000000000,244.218.974.000.000.000,19.029.192.000.000.000,C,I,C,A,A,D,4.8,'ABAIXO DA MEDIA'
2,27044289,3,1,604386,1,17847725,BDAACDCADCBDD,BAAABCDDBBABA,ADCABDABBCDDA,CACACABADBABC,270915231,1.088.235.294.100.000,0.318660000000000,267.541.041.000.000.000,18.416.609.000.000.000,B,A,B,A,A,A,4.8,'ABAIXO DA MEDIA'
2,27044289,3,1,604386,1,17847726,BDABDCBBBCADA,BCBBCDDCACBAB,ACACACAACBBBA,BCCBABCDDDDCC,270915231,1.088.235.294.100.000,0.086266000000000,254.737.674.000.000.000,17.573.626.000.000.000,B,H,C,A,A,A,4.8,'ABAIXO DA MEDIA'
