ID_PROVA_BRASIL,ID_REGIAO,ID_UF,ID_MUNICIPIO,ID_AREA,ID_ESCOLA,ID_DEPENDENCIA_ADM,ID_LOCALIZACAO,ID_TURMA,ID_TURNO,ID_SERIE,ID_ALUNO,IN_SITUACAO_CENSO,IN_PREENCHIMENTO_PROVA,ID_CADERNO,ID_BLOCO_1,ID_BLOCO_2,TX_RESP_BLOCO_1_LP,TX_RESP_BLOCO_2_LP,TX_RESP_BLOCO_1_MT,TX_RESP_BLOCO_2_MT,IN_PROFICIENCIA,IN_PROVA_BRASIL,ESTRATO_ANEB,PESO_ALUNO_MT,PROFICIENCIA_MT,DESVIO_PADRAO_MT,PROFICIENCIA_MT_SAEB,DESVIO_PADRAO_MT_SAEB,IN_PREENCHIMENTO_QUESTIONARIO,TX_RESP_Q001,TX_RESP_Q002,TX_RESP_Q003,TX_RESP_Q004,TX_RESP_Q005,TX_RESP_Q006,TX_RESP_Q007,TX_RESP_Q008,TX_RESP_Q009,TX_RESP_Q010,TX_RESP_Q011,TX_RESP_Q012,TX_RESP_Q013,TX_RESP_Q014,TX_RESP_Q015,TX_RESP_Q016,TX_RESP_Q017,TX_RESP_Q018,TX_RESP_Q019,TX_RESP_Q020,TX_RESP_Q021,TX_RESP_Q022,TX_RESP_Q023,TX_RESP_Q024,TX_RESP_Q025,TX_RESP_Q026,TX_RESP_Q027,TX_RESP_Q028,TX_RESP_Q029,TX_RESP_Q030,TX_RESP_Q031,TX_RESP_Q032,TX_RESP_Q033,TX_RESP_Q034,TX_RESP_Q035,TX_RESP_Q036,TX_RESP_Q037,TX_RESP_Q038,TX_RESP_Q039,TX_RESP_Q040,TX_RESP_Q041,TX_RESP_Q042,TX_RESP_Q043,TX_RESP_Q044,TX_RESP_Q045,TX_RESP_Q046,TX_RESP_Q047,TX_RESP_Q048,TX_RESP_Q049,TX_RESP_Q050,TX_RESP_Q051,'CLASSIFICADOR IDEB'
2015,2,27,2704302,1,27226603,3,1,605188,2,5,17873406,1,1,16,2,5,BCADCBDADDA,BDBDDDCDCBA,ADABDACADBD,CAADCDDDADD,1,1,270430231,0.940314425,-0.602671,0.345847,216.279.696,19.330.194,1,B,B,F,D,C,A,B,B,B,A,B,A,B,B,B,C,A,A,G,A,A,B,G,A,B,A,A,A,A,A,A,B,?,B,A,A,B,B,B,C,A,B,A,A,B,A,A,A,A,A,B,'ACIMA DA M?DIA '
2015,2,27,2704302,1,27226603,3,1,605188,2,5,17873407,1,1,5,5,6,BACBBDDDAAD,DABACAAAAAB,CAACADDCACA,DAABBADBBDB,1,1,270430231,0.940314425,-0.1839,0.291172,239.685.782,16.274.281,1,B,F,L,C,B,B,B,B,B,A,B,A,B,B,D,B,A,A,D,A,A,B,G,A,A,A,A,A,A,A,A,B,A,B,B,A,B,A,B,D,A,B,A,C,A,A,A,A,A,A,B,'ACIMA DA M?DIA '
2015,2,27,2704302,1,27226603,3,1,605188,2,5,17873408,1,1,21,7,3,CBDCDDAACDB,ACBBABADBBB,BCCBABDBDCC,DCCBBBBBCBA,1,1,270430231,0.940314425,-0.417575,0.375737,226.625.142,21.000.816,1,B,B,E,D,B,B,B,B,A,C,A,A,A,B,C,E,A,A,B,A,A,A,C,A,A,A,A,A,A,A,A,C,B,B,B,B,B,C,C,D,B,B,B,A,A,A,A,A,A,A,B,'ACIMA DA M?DIA '
2015,2,27,2704302,1,27226603,3,1,605188,2,5,17873409,1,1,8,1,3,DADCCCADBDB,DCDBBCABBDA,ABCCCAAADCD,AACCCACABAA,1,1,270430231,0.940314425,-1.415.574,0.423851,170.844.655,23.690.019,1,B,B,B,C,D,B,B,B,A,A,B,A,C,B,D,F,B,A,C,A,A,B,C,A,A,A,A,A,A,A,A,B,A,A,A,A,B,B,A,B,A,B,B,A,A,A,A,A,A,A,A,'ACIMA DA M?DIA '
2015,2,27,2704302,1,27226603,3,1,605188,2,5,17873410,1,1,13,6,1,BCBCBADAACD,DBDBCACCBBD,BDBBDADBDBC,CBDCACBAACC,1,1,270430231,0.940314425,-1.662.769,0.476492,157.028.351,26.632.247,1,B,B,J,D,B,B,B,C,B,B,B,A,C,C,C,E,A,A,F,A,A,A,A,B,B,A,A,A,A,A,A,A,A,B,A,A,A,B,A,A,C,B,A,C,B,A,A,A,A,A,A,'ACIMA DA M?DIA '
2015,2,27,2704302,1,27226603,3,1,605188,2,5,17873411,1,1,11,4,6,BDDACCACBBA,ADBBBDAAAAB,AADCBBBABCB,DDACAABBABB,1,1,270430231,0.940314425,-1.449.739,0.50118,168.935.093,28.012.117,1,B,F,I,D,A,A,B,C,B,A,A,A,A,B,D,F,A,A,A,B,A,A,A,A,A,B,A,A,A,A,A,B,A,C,A,C,C,B,C,A,A,B,C,A,A,A,A,A,A,A,A,'ACIMA DA M?DIA '
2015,2,27,2704302,1,27226603,3,1,605188,2,5,17873412,1,1,14,7,2,CBDBBDBACAB,DBADCBDDBCA,BCCBABDCBBC,BACBAABBBBD,1,1,270430231,0.940314425,-0.160851,0.302772,240.974.044,16.922.632,1,A,D,A,C,D,C,B,C,C,A,B,A,B,D,E,F,A,A,E,A,A,B,G,A,B,B,A,A,A,A,A,B,A,B,A,A,B,B,B,B,A,A,A,A,A,A,A,A,A,A,B,'ACIMA DA M?DIA '
2015,2,27,2704302,1,27226603,3,1,605188,2,5,17873413,1,1,7,7,1,CBDDDDAACBA,DBACCDCCDCB,BCBBCBDABBC,CBCABCCBBCD,1,1,270430231,0.940314425,0.106713,0.310723,255.928.819,17.367.032,1,A,B,C,C,B,A,B,B,B,A,A,A,B,B,B,B,A,B,E,B,B,A,E,A,B,A,A,A,A,A,B,C,B,C,B,C,B,A,C,A,B,B,C,A,A,A,A,A,A,A,B,'ACIMA DA M?DIA '
2015,2,27,2704302,1,27226603,3,1,605188,2,5,17873414,1,1,10,3,5,DCDDAABDBDB,DCCAADCDDDA,CABCBDDCCDD,AAADCCDDACA,1,1,270430231,0.940314425,-0.750915,0.364547,207.993.994,2.037.538,1,B,C,G,D,B,C,C,D,C,B,A,A,A,B,E,F,A,A,C,A,A,A,G,A,A,A,A,A,A,A,A,C,A,B,A,B,B,C,C,B,A,B,A,A,A,A,A,?,A,A,B,'ACIMA DA M?DIA '
2015,2,27,2704302,1,27226603,3,1,605188,2,5,17873415,1,1,6,6,7,CCCABDDBBAB,CBDDBDAACDB,CACBBACAADC,ACCBABDDBBB,1,1,270430231,0.940314425,-0.5864,0.408961,21.718.912,22.857.782,1,A,B,G,D,B,A,B,?,A,A,A,A,A,B,E,F,C,A,G,A,A,A,G,A,A,A,A,A,A,A,B,C,B,C,B,C,C,C,C,A,A,B,C,A,A,A,A,A,A,A,C,'ACIMA DA M?DIA '
2015,2,27,2704302,1,27226603,3,1,605188,2,5,17873416,1,1,18,4,7,BADADBACDAD,ABACCDCABAB,AAACBCCDACC,ABBBCCDBBBB,1,1,270430231,0.940314425,-1.187.621,0.444227,183.585.479,24.828.881,1,A,B,L,C,B,B,B,B,B,A,A,A,A,B,A,C,A,A,A,B,B,C,A,A,A,A,A,A,A,A,A,B,A,B,A,C,B,C,B,C,D,B,B,A,A,A,A,A,A,A,A,'ACIMA DA M?DIA '
2015,2,27,2704302,1,27226603,3,1,605188,2,5,17873417,1,1,20,6,2,DCACBBDBBAD,BCBDCBDACCA,DACBCACCBDB,CDABADDBABD,1,1,270430231,0.940314425,0.933069,0.335385,30.211.578,18.745.448,1,B,B,B,C,C,B,C,B,A,B,B,A,A,B,D,E,A,A,A,B,B,B,C,A,A,C,A,A,A,A,B,C,B,C,A,C,C,C,B,D,B,B,B,A,A,A,A,A,A,A,C,'ACIMA DA M?DIA '
