ID_AREA,ID_DEPENDENCIA_ADM,PROFICIENCIA_LP,TX_RESP_Q027,TX_RESP_Q051,'CLASSIFICADOR IDEB'
1,3,-0.535166,A,B,'ACIMA DA M?DIA '
1,3,-0.368595,A,D,'ACIMA DA M?DIA '
1,3,-0.386761,A,B,'ACIMA DA M?DIA '
1,3,-0.159177,A,A,'ACIMA DA M?DIA '
1,3,0.754158,A,B,'ACIMA DA M?DIA '
1,3,-1.753.013,A,A,'ACIMA DA M?DIA '
1,3,-0.824244,?,A,'ACIMA DA M?DIA '
1,3,-180.019,A,A,'ACIMA DA M?DIA '
1,3,0.15467,A,C,'ACIMA DA M?DIA '
1,3,0.185492,A,B,'ACIMA DA M?DIA '
1,3,-0.402424,A,C,'ACIMA DA M?DIA '
1,3,-1.152.767,A,B,'ACIMA DA M?DIA '
1,3,-0.820627,A,B,'ACIMA DA M?DIA '
1,3,-0.079652,A,C,'ACIMA DA M?DIA '
1,3,-13.238,A,C,'ACIMA DA M?DIA '
1,3,-1.463.916,A,A,'ACIMA DA M?DIA '
1,3,-0.108168,A,C,'ACIMA DA M?DIA '
1,3,-0.817992,A,B,'ACIMA DA M?DIA '
1,3,-1.266.608,A,B,'ACIMA DA M?DIA '
1,3,-0.983194,A,A,'ACIMA DA M?DIA '
1,3,-1.403.053,A,A,'ACIMA DA M?DIA '
1,3,0.333684,A,B,'ACIMA DA M?DIA '
1,3,-0.075601,A,B,'ACIMA DA M?DIA '
1,3,-0.985128,A,C,'ACIMA DA M?DIA '
1,3,-1.310.018,A,A,'ACIMA DA M?DIA '
1,3,-0.805433,A,C,'ACIMA DA M?DIA '
1,3,-1.808.603,A,?,'ACIMA DA M?DIA '
1,3,-0.535111,A,B,'ACIMA DA M?DIA '
1,3,-0.518401,A,C,'ACIMA DA M?DIA '
1,3,-0.436218,A,C,'ACIMA DA M?DIA '
1,3,-2.158.593,A,A,'ACIMA DA M?DIA '
1,3,0.10637,A,A,'ACIMA DA M?DIA '
1,3,-2.247.711,A,A,'ACIMA DA M?DIA '
1,3,-0.38667,A,B,'ACIMA DA M?DIA '
1,3,0.473617,A,A,'ACIMA DA M?DIA '
1,3,-1.172.769,A,B,'ACIMA DA M?DIA '
1,3,-1.615.818,A,A,'ACIMA DA M?DIA '
1,3,-0.134851,A,A,'ACIMA DA M?DIA '
1,3,-1.432.651,A,A,'ACIMA DA M?DIA '
1,3,0.24157,A,A,'ACIMA DA M?DIA '
1,3,-1.484.031,A,B,'ACIMA DA M?DIA '
1,3,-0.412598,A,B,'ACIMA DA M?DIA '
1,3,-1.144.716,A,B,'ACIMA DA M?DIA '
1,3,-1.207.325,A,A,'ACIMA DA M?DIA '
1,3,-1.945.924,A,B,'ACIMA DA M?DIA '
1,3,-0.742818,A,B,'ACIMA DA M?DIA '
1,3,-0.800014,A,B,'ACIMA DA M?DIA '
1,3,0.055441,A,A,'ACIMA DA M?DIA '
1,3,-1.187.349,A,B,'ACIMA DA M?DIA '
1,3,0.334356,A,A,'ACIMA DA M?DIA '
1,3,-1.539.752,A,A,'ACIMA DA M?DIA '
1,3,-1.107.374,A,A,'ACIMA DA M?DIA '
1,3,-2.162.935,A,B,'ACIMA DA M?DIA '
1,3,-1.512.233,A,A,'ACIMA DA M?DIA '
1,3,-2.025.911,A,B,'ACIMA DA M?DIA '
1,3,0.185821,A,A,'ACIMA DA M?DIA '
1,3,-119.749,A,A,'ACIMA DA M?DIA '
1,3,-0.761999,A,A,'ACIMA DA M?DIA '
1,3,-1.116.781,A,A,'ACIMA DA M?DIA '
1,3,-0.045432,A,A,'ACIMA DA M?DIA '
1,3,-0.75208,A,A,'ACIMA DA M?DIA '
1,3,0.116937,A,A,'ACIMA DA M?DIA '
1,3,-0.42745,A,A,'ACIMA DA M?DIA '
1,3,-1.487.895,A,A,'ACIMA DA M?DIA '
1,3,-1.468.704,A,B,'ACIMA DA M?DIA '
1,3,-2.066.739,A,A,'ACIMA DA M?DIA '
1,3,-0.413359,A,A,'ACIMA DA M?DIA '
1,3,-0.565483,A,B,'ACIMA DA M?DIA '
1,3,-1.363.403,A,A,'ACIMA DA M?DIA '
1,3,0.272405,A,C,'ACIMA DA M?DIA '
1,3,-1.079.978,A,B,'ACIMA DA M?DIA '
1,3,-1.417.269,A,A,'ACIMA DA M?DIA '
1,3,-1.654.239,A,D,'ACIMA DA M?DIA '
1,3,-0.527603,A,A,'ACIMA DA M?DIA '
1,3,-1.078.612,B,A,'ACIMA DA M?DIA '
1,3,-1.358.519,A,A,'ACIMA DA M?DIA '
1,3,-0.256781,A,A,'ACIMA DA M?DIA '
1,3,-1.842.148,A,A,'ACIMA DA M?DIA '
1,3,-1.475.438,A,B,'ACIMA DA M?DIA '
1,3,-1.133.028,A,A,'ACIMA DA M?DIA '
1,3,-0.922543,A,B,'ACIMA DA M?DIA '
1,3,-2.006.369,A,A,'ACIMA DA M?DIA '
1,3,-1.259.584,A,B,'ACIMA DA M?DIA '
1,3,-1.976.518,A,B,'ACIMA DA M?DIA '
1,3,-0.615435,A,B,'ACIMA DA M?DIA '
1,3,-1.355.231,A,B,'ACIMA DA M?DIA '
1,3,-0.597309,A,C,'ACIMA DA M?DIA '
1,3,102.744,A,B,'ACIMA DA M?DIA '
1,3,-0.598064,?,C,'ACIMA DA M?DIA '
1,3,-1.826.482,A,B,'ACIMA DA M?DIA '
1,3,-0.643595,A,B,'ACIMA DA M?DIA '
1,3,-1.079.579,A,C,'ACIMA DA M?DIA '
1,3,-0.969109,A,A,'ACIMA DA M?DIA '
1,3,-0.635445,A,C,'ACIMA DA M?DIA '
1,3,-0.786156,A,B,'ACIMA DA M?DIA '
1,3,-0.619092,A,B,'ACIMA DA M?DIA '
1,3,-0.745387,A,B,'ACIMA DA M?DIA '
1,3,0.173915,A,B,'ACIMA DA M?DIA '
1,3,-0.168147,A,C,'ACIMA DA M?DIA '
1,3,-0.90857,A,B,'ACIMA DA M?DIA '
1,3,-0.856386,A,B,'ACIMA DA M?DIA '
1,3,-0.334232,A,C,'ACIMA DA M?DIA '
1,3,0.844904,A,C,'ACIMA DA M?DIA '
1,3,-0.679643,A,B,'ACIMA DA M?DIA '
1,3,0.221082,A,B,'ACIMA DA M?DIA '
1,3,-0.796921,A,B,'ACIMA DA M?DIA '
1,3,-0.418823,A,B,'ACIMA DA M?DIA '
1,3,-0.646073,A,C,'ACIMA DA M?DIA '
1,3,-1.632.916,A,B,'ACIMA DA M?DIA '
1,3,-2.218.206,?,?,'ACIMA DA M?DIA '
1,3,-0.774414,A,C,'ACIMA DA M?DIA '
1,3,-1.575.245,A,B,'ACIMA DA M?DIA '
1,3,-0.124965,A,C,'ACIMA DA M?DIA '
1,3,-1.960.281,A,B,'ACIMA DA M?DIA '
1,3,-0.251773,A,B,'ACIMA DA M?DIA '
1,3,-1.265.809,A,A,'ACIMA DA M?DIA '
1,3,-1.539.268,A,B,'ACIMA DA M?DIA '
1,3,-0.274614,A,B,'ACIMA DA M?DIA '
1,3,0.127993,A,B,'ACIMA DA M?DIA '
1,3,-100.869,A,B,'ACIMA DA M?DIA '
1,3,0.161947,A,B,'ACIMA DA M?DIA '
1,3,-0.080649,A,B,'ACIMA DA M?DIA '
1,3,-1.354.661,A,B,'ACIMA DA M?DIA '
1,3,-1.488.063,A,B,'ACIMA DA M?DIA '
1,3,0.228997,A,B,'ACIMA DA M?DIA '
1,3,-0.387947,A,C,'ACIMA DA M?DIA '
1,3,-0.538014,A,D,'ACIMA DA M?DIA '
1,3,0.016816,A,B,'ACIMA DA M?DIA '
1,3,-0.781013,A,B,'ACIMA DA M?DIA '
1,3,-0.219129,A,C,'ACIMA DA M?DIA '
1,3,-0.544476,A,B,'ACIMA DA M?DIA '
1,3,-0.515039,A,C,'ACIMA DA M?DIA '
1,3,0.151216,A,B,'ACIMA DA M?DIA '
1,3,0.633737,A,C,'ACIMA DA M?DIA '
1,3,-0.90111,A,C,'ACIMA DA M?DIA '
1,3,0.434262,A,C,'ACIMA DA M?DIA '
1,3,-0.14123,A,C,'ACIMA DA M?DIA '
1,3,0.431604,A,B,'ACIMA DA M?DIA '
1,3,-0.39546,A,C,'ACIMA DA M?DIA '
1,3,-0.912625,A,B,'ACIMA DA M?DIA '
1,3,-1.083.761,A,B,'ACIMA DA M?DIA '
1,3,-1.667.179,B,A,'ACIMA DA M?DIA '
1,3,-1.091.748,A,C,'ACIMA DA M?DIA '
1,3,-1.281.366,A,A,'ACIMA DA M?DIA '
1,3,0.523696,A,D,'ACIMA DA M?DIA '
1,3,-1.684.397,A,D,'ACIMA DA M?DIA '
1,3,0.099818,A,C,'ACIMA DA M?DIA '
1,3,0.646025,A,D,'ACIMA DA M?DIA '
1,3,-0.58693,A,D,'ACIMA DA M?DIA '
1,3,-1.791.863,B,D,'ACIMA DA M?DIA '
1,3,-0.953391,A,B,'ACIMA DA M?DIA '
1,3,-1.142.807,A,B,'ACIMA DA M?DIA '
1,3,-0.751771,A,B,'ACIMA DA M?DIA '
1,3,0.399718,A,C,'ACIMA DA M?DIA '
1,3,-0.663801,A,C,'ACIMA DA M?DIA '
1,3,-0.902565,A,A,'ACIMA DA M?DIA '
