Bola1,Bola2,Bola3,Bola4,Bola5,Bola6,Bola7,Bola8,Bola9,Bola10,Bola11,Bola12,Bola13,Bola14,Bola15,Arrecadacao_Total,Ganhadores_15_N·meros,Cidade,UF,Ganhadores_14_N·meros,Ganhadores_13_N·meros,Ganhadores_12_N·meros,Ganhadores_11_N·meros,Valor_Rateio_15_N·meros,Valor_Rateio_14_N·meros,Valor_Rateio_13_N·meros,Valor_Rateio_12_N·meros,Valor_Rateio_11_N·meros,Acumulado_15_N·meros,Estimativa_Premio,Valor_Acumulado_Especial,outros1,outros2
4,24,7,17,9,13,18,20,5,6,10,21,2,19,23,0,6,Ribeir?o Preto,DF,480,18433,230658,1352474,271.483,43,1.454,37,10,4,2,0,0,0
21,9,13,12,11,15,4,22,24,16,8,18,23,2,17,0,2,SANTOS,SP,573,29882,267884,1577059,694.861,30,1.039,43,10,4,2,0,0,0
10,4,18,22,1,3,20,19,17,2,15,5,11,12,14,0,2,SANTOS,GO,401,20787,231813,1294859,883.199,51,1.887,85,10,4,2,0,0,0
9,17,24,6,16,10,23,18,14,19,4,3,12,21,22,0,1,7,MT,454,16790,220370,1209732,1.793.190,45,1.692,75,10,4,2,0,0,0
4,10,13,22,17,3,23,24,12,14,15,25,19,20,6,0,4,CATAGUASES,CE,539,19062,237912,1490877,379.485,48,1.206,95,10,4,2,0,0,0
24,17,15,25,8,18,22,6,1,11,23,20,5,2,10,0,5,S?O MIGUEL DO OESTE,MG,1089,31800,376336,1625070,238.130,55,466,8,10,4,2,0,0,0
4,7,24,25,20,14,1,2,10,16,17,11,21,13,3,0,4,SANTANA DE PARNA?BA,RJ,695,19351,227907,1278734,424.895,89,1.048,5,10,4,2,0,0,0
11,22,14,25,10,8,23,13,4,16,17,9,3,12,1,0,6,S?O PAULO,RS,547,39008,241845,1371980,251.438,56,1.182,0,10,4,2,0,0,0
7,6,14,19,13,3,21,23,1,24,16,17,9,20,10,0,9,S?O PAULO,SP,917,26691,287551,1473207,144.911,71,607,23,10,4,2,0,0,0
19,4,22,1,7,23,10,25,21,11,18,2,3,9,12,0,5,SERT?OZINHO,MG,622,20635,267607,1361023,323.383,57,1.114,9,10,4,2,0,0,0
23,18,1,7,5,22,2,3,25,10,4,17,8,16,11,0,5,1,SP,467,26477,269789,1577960,276.012,69,1.266,50,10,4,2,0,0,0
6,5,22,24,19,16,11,14,21,13,15,25,7,18,10,0,2,5,DF,354,13835,196494,1186254,982.532,88,2.379,2,10,4,2,0,0,0
8,7,10,12,25,9,15,22,19,6,11,13,4,17,21,0,2,RIO DE JANEIRO,ES,425,15988,225268,1278152,855.532,63,1.725,44,10,4,2,0,0,0
5,15,3,1,4,13,22,2,25,6,10,17,14,23,12,0,3,GUARUJ?,SP,471,22766,286573,1570457,442.710,0,1.208,49,10,4,2,0,0,0
24,4,7,17,21,12,15,3,25,11,1,18,6,8,9,0,1,ITANHA?M,BA,494,16680,215950,1314644,1.801.807,58,1.563,17,10,4,2,0,0,0
9,15,25,14,16,2,8,11,12,7,1,22,4,23,18,0,8,LEME,SP,1094,26164,281728,1425759,159.562,30,498,16,10,4,2,0,0,0
9,7,23,1,11,25,18,13,20,3,21,5,24,16,12,0,14,3,BA,2257,44187,335886,1552174,76.346,11,202,19,10,4,2,0,0,0
23,20,3,6,5,1,4,25,12,13,21,17,22,14,19,0,2,RIO DE JANEIRO,ES,442,23523,280697,1423182,706.957,82,1.370,96,10,4,2,0,0,0
10,1,19,21,25,17,12,5,11,15,13,24,6,18,22,0,1,S?O PAULO,GO,415,17785,266234,1440550,1.503.858,33,1.553,4,10,4,2,0,0,0
20,10,2,6,19,21,18,3,17,11,1,14,4,15,23,0,1,8,MA,341,13885,218980,1274318,1.749.331,36,2.198,57,10,4,2,0,0,0
6,14,24,2,19,5,12,8,20,21,4,11,1,13,25,0,3,BRAS?LIA,PR,437,16637,236170,1390432,514.867,34,1.514,81,10,4,2,0,0,0
20,3,22,9,6,2,14,1,10,25,24,11,21,8,7,0,0,PAPAGAIOS,RJ,320,11371,182608,1159190,0,2.542,69,10,4,2,1.898.540,0,0,0
4,17,5,16,6,11,20,9,12,21,25,7,13,1,18,0,1,BLUMENAU,SE,674,22580,326888,1754217,4.081.776,78,1.388,24,10,4,2,0,0,0
